,name,candidate_id,state,incumbent_challenge_full,party_full,office_full,cycles,election_years,last_file_date,load_date
8524,"JONES, THOMAS FRANKLIN",S6NV00242,NV,Open seat,INDEPENDENT,Senate,"[2016, 2018]",[2016],2015-12-22,2018-02-17T09:16:20
8525,"JONES, VERNON A",S6GA00176,GA,Challenger,DEMOCRATIC PARTY,Senate,"[2006, 2008, 2010]",[2008],2007-03-16,2008-01-07T00:00:00
8526,"JONES, VERNON A",H0GA04080,GA,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2010-01-04,2011-02-24T10:53:12
8527,"JONES, WALTER B",H2NC01081,NC,Incumbent,REPUBLICAN PARTY,House,"[1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]",2017-02-07,2018-04-09T21:07:45
8528,"JONES, WARREN D (CORKY)",H8NE01057,NE,Challenger,DEMOCRATIC PARTY,House,"[1988, 1990]",[1988],1988-02-08,2002-03-30T00:00:00
8529,"JONES, WILLIAM",H4VA08067,VA,Challenger,INDEPENDENT,House,"[1994, 1996]",[1994],1994-10-19,2002-04-02T00:00:00
8530,"JONES, WILLIAM LANDIS",H4KY03145,KY,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996]",[1994],1994-02-07,2002-04-02T00:00:00
8531,"JONES, WILLIAM MICHAEL",H8GA06161,GA,Challenger,DEMOCRATIC PARTY,House,"[2008, 2010]",[2008],2008-04-08,2008-07-21T00:00:00
8532,"JONTZ, JAMES",S4IN00048,IN,Challenger,DEMOCRATIC PARTY,Senate,"[1994, 1996, 1998, 2000]",[1994],1993-12-27,2002-04-07T00:00:00
8533,"JONTZ, JAMES",H6IN05059,IN,Challenger,DEMOCRATIC PARTY,House,"[1976, 1986, 1988, 1990, 1992, 1994, 1996, 1998]","[1976, 1986, 1988, 1990, 1992]",1991-06-17,2002-04-03T00:00:00
8534,"JORDAN, CAROLE JEAN",H4FL15098,FL,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1994-03-25,2002-04-07T00:00:00
8535,"JORDAN, CHARLES EDWARD",H0OH12112,OH,Open seat,INDEPENDENT,House,"[2000, 2002]",[2000],2000-08-03,2002-04-12T00:00:00
8536,"JORDAN, DWAYNE E",H2NM03066,NM,Challenger,REPUBLICAN PARTY,House,"[1982, 1984]",[1982],1982-05-28,2002-03-30T00:00:00
8537,"JORDAN, ELEANOR",H0KY03119,KY,Challenger,DEMOCRATIC PARTY,House,"[2000, 2002, 2004, 2006]",[2000],1999-04-02,2002-04-12T00:00:00
8538,"JORDAN, HAROLD P",H0NC08171,NC,Challenger,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2009-11-19,2011-02-24T10:53:12
8539,"JORDAN, HENRY SPEIR JR MD",S6SC00013,SC,Challenger,REPUBLICAN PARTY,Senate,"[1986, 1988, 1990, 1992]",[1986],1985-09-30,2002-03-30T00:00:00
8540,"JORDAN, HENRY SPEIR JR MD",H8SC03021,SC,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992]",[1988],1987-10-20,2002-03-30T00:00:00
8541,"JORDAN, JACK EDWARD",H0IN02208,IN,Challenger,REPUBLICAN PARTY,House,[2010],[2010],2010-01-07,2010-04-16T22:18:13
8542,"JORDAN, JAMES D.",H6OH04082,OH,Incumbent,REPUBLICAN PARTY,House,"[2006, 2008, 2010, 2012, 2014, 2016, 2018]","[2006, 2008, 2010, 2012, 2014, 2016, 2018]",2016-11-14,2017-05-05T21:04:59
8543,"JORDAN, JOE BUZZ",H2AL01135,AL,Open seat,DEMOCRATIC PARTY,House,"[2002, 2004]",[2002],2002-04-17,2002-06-06T00:00:00
8544,"JORDAN, MARY E",S2AK00051,AK,Challenger,UNKNOWN,Senate,[1992],[1992],1992-04-27,2002-03-30T00:00:00
8545,"JORDAN, MICHAEL",H6CA24170,CA,Open seat,DEMOCRATIC PARTY,House,[1996],[1996],1996-03-07,2002-04-02T00:00:00
8546,"JORDAN, NICHOLAS M",H8KS03064,KS,Open seat,REPUBLICAN PARTY,House,"[2008, 2010, 2012]","[2008, 2010]",2010-02-26,2011-02-24T10:53:12
8547,"JORDAN, TERRENCE MICHAEL",H4IL13068,IL,Challenger,REPUBLICAN PARTY,House,"[1984, 1986, 1988, 1990, 1992, 1994]",[1984],1984-01-19,2002-03-30T00:00:00
8548,"JORDAN, WALLACE HERBERT JR ''JAY''",H2SC07074,SC,Challenger,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2011-11-22,2013-04-26T09:04:30
8549,"JORDAN, W HAMILTON",S6GA00044,GA,Challenger,DEMOCRATIC PARTY,Senate,"[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000]",[1986],1986-01-27,2002-04-07T00:00:00
8550,"JORDAN, WILLIAM FRANKLIN MR",H4MS02142,MS,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1994-01-06,2002-04-07T00:00:00
8551,"JORDAN, WILLIAM WELCH",H4NC06037,NC,Challenger,DEMOCRATIC PARTY,House,"[2004, 2006]",[2004],2004-10-26,2005-03-02T00:00:00
8552,"JORGENSEN, JAY THOMAS",H2UT02183,UT,Challenger,REPUBLICAN PARTY,House,"[2002, 2004, 2006]",[2002],2002-02-12,2002-04-18T00:00:00
8553,"JORGENSEN, JO",H2SC04063,SC,Challenger,LIBERTARIAN PARTY,House,[1992],[1992],1992-10-07,2002-03-30T00:00:00
8554,"JORGENSEN, JO ANNE",P60003639,US,Challenger,LIBERTARIAN PARTY,President,[1996],[1996],1996-05-20,2002-04-02T00:00:00
8555,"JORGENSEN, KIRK",H4CA52069,CA,Challenger,REPUBLICAN PARTY,House,"[2014, 2016]",[2014],2013-06-20,2015-04-02T15:52:44
8556,"JORGENSEN, MARTA ANN",H8CA24143,CA,Challenger,DEMOCRATIC PARTY,House,"[2008, 2010, 2012]","[2008, 2010]",2009-05-13,2011-02-24T10:53:11
8557,"JOSEFF, MATTHEW JASON",H0CT03130,CT,Challenger,INDEPENDENT,House,"[2010, 2012]",[2010],2010-05-26,2010-05-27T22:10:40
8558,"JOSEPH, MICHAEL DENNIS",H4OH17014,OH,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986, 1988, 1990, 1992, 1994]",[1984],1983-08-05,2002-03-30T00:00:00
8559,"JOSHI, YATISH J MR.",H8IN02185,IN,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-10-25,2018-02-07T21:13:27
8560,"JOSLYN, JERRY",S0AZ00285,AZ,Challenger,GREEN PARTY,Senate,[2010],[2010],2010-06-23,2010-07-19T22:15:49
8561,"JOST, PAUL CHARLES",H0VA01045,VA,Open seat,REPUBLICAN PARTY,House,"[2000, 2002, 2004, 2008]","[2000, 2007]",2007-11-13,2009-04-28T00:00:00
8562,"JOSWIAK, ROBERT HERBERT",H4PA03091,PA,Challenger,DEMOCRATIC PARTY,House,[2014],[2014],2014-01-03,2014-03-10T23:41:29
8563,"JOTTE, RANDALL (RANDY) STEPHEN",H2MO02110,MO,Open seat,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2011-10-07,2013-04-26T09:04:30
8564,"JOVICIC, DUSKO",H2AZ03079,AZ,Open seat,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2002-05-08,2005-03-02T00:00:00
8565,"JOYCE, BRIAN A",H2MA09064,MA,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008, 2010, 2012]","[2001, 2002]",2002-11-29,2006-06-16T23:00:03
8566,"JOYCE, DAVID P",H2OH14064,OH,Incumbent,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]","[2012, 2014, 2016, 2018]",2016-12-12,2017-03-02T21:00:15
8567,"JOYCE, JOHN",H8PA13125,PA,Challenger,REPUBLICAN PARTY,House,[2018],[2018],2018-03-22,2018-04-18T21:13:54
8568,"JOYCE, LAWRENCE JOSEPH",H4IL09058,IL,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1994-04-01,2002-04-07T00:00:00
8569,"JOYCE, STEVEN",H2ME01107,ME,Challenger,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2002-02-12,2002-04-16T00:00:00
8570,"JOYNER, CONRAD FRANCIS",H2AZ05025,AZ,Challenger,REPUBLICAN PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992]",[1982],1982-05-06,2002-03-30T00:00:00
8571,"JUDD, CHARLES E",H8VA06013,VA,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 1994, 1996]",[1988],1988-07-19,2002-04-02T00:00:00
8572,"JUDD, JAMES O JR.",H0CA06097,CA,Challenger,REPUBLICAN PARTY,House,[2010],[2010],2010-10-12,2010-10-12T22:41:08
8573,"JUDD, KEITH RUSSELL",P60003530,US,Open seat,DEMOCRATIC PARTY,President,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016]","[1996, 2000, 2008, 2012, 2016]",2016-03-07,2016-11-17T06:10:49
8574,"JUDGE, PATTY JEAN",S6IA00140,IA,Challenger,DEMOCRATIC PARTY,Senate,"[2016, 2018]",[2016],2016-03-10,2018-02-17T09:16:20
8575,"JUDY, CODY ROBERT",S4UT00159,UT,Challenger,NONE,Senate,"[2004, 2006, 2010]","[2004, 2010]",2004-08-09,2010-09-16T22:30:18
8576,"JUDY, JANICE (JAN) A",H4AR03024,AR,Challenger,DEMOCRATIC PARTY,House,"[2004, 2006]",[2004],2003-08-24,2005-03-02T00:00:00
8577,"JUGLOFF, JOAN T",H4AZ04032,AZ,Open seat,REPUBLICAN PARTY,House,[1994],[1994],1994-01-14,2002-03-30T00:00:00
8578,"JULIAN, GREGORY BARRY",H6NY22064,NY,Challenger,DEMOCRATIC PARTY,House,"[1986, 1994, 1996, 1998]","[1986, 1994]",1994-08-05,2002-04-03T00:00:00
8579,"JUMONVILLE, J E JR",S6LA00060,LA,Challenger,DEMOCRATIC PARTY,Senate,"[1986, 1988, 1990, 1992, 1994, 1996]",[1986],1986-07-15,2002-04-02T00:00:00
8580,"JUMONVILLE, JOHN ENOUL ""J E"" JR",H8LA08036,LA,Challenger,DEMOCRATIC PARTY,House,"[1988, 1990, 1992, 1994, 1996]",[1988],1988-09-06,2002-04-02T00:00:00
8581,"JUNEAU, DENISE",H6MT01095,MT,Challenger,DEMOCRATIC PARTY,House,"[2016, 2018]",[2016],2015-11-04,2017-02-23T14:47:46
8582,"JUNGE, EMBER REICHGOTT",H6MN05233,MN,Open seat,DEMOCRATIC-FARM-LABOR,House,"[2006, 2008]",[2006],2006-04-25,2009-04-29T00:00:00
8583,"JUNTIKKA, CHARLES WAYNE",H2NY15042,NY,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994, 1996, 1998]",[1992],1992-03-27,2002-04-03T00:00:00
8584,"JURGENSEN, GEORGE A",H6DE00164,DE,Challenger,LIBERTARIAN PARTY,House,[1996],[1996],1996-08-30,2002-04-02T00:00:00
8585,"JURGENS, PAUL E",H8IL20031,IL,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992]","[1988, 1990, 1992]",1992-02-25,2002-03-30T00:00:00
8586,"JUST, DAVID M",H4CA36021,CA,Challenger,REPUBLICAN PARTY,House,"[1984, 1986, 1988]",[1984],1984-05-24,2002-03-30T00:00:00
8587,"JUSTICE, ALEXANDER SWIFT",H0CA25030,CA,Challenger,REPUBLICAN PARTY,House,[1990],[1990],1990-03-19,2002-03-30T00:00:00
8588,"JUSTICE, ALEXANDER SWIFT EAGLE",S2CA00443,CA,Open seat,REPUBLICAN PARTY,Senate,[1992],[1992],1992-03-05,2002-03-30T00:00:00
8589,"JUSTICE, CHARLIE",H0FL10055,FL,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2009-04-24,2011-02-24T10:53:11
8590,"KABAT, RONALD P.",H0CA17185,CA,Challenger,NO PARTY AFFILIATION,House,"[2010, 2012, 2014, 2016, 2018]","[2010, 2012, 2014, 2018]",2018-10-22,2018-10-26T21:24:19
8591,"KACZALA, LARRY A",H4OH09060,OH,Challenger,REPUBLICAN PARTY,House,"[2004, 2006]",[2004],2003-10-14,2005-03-02T00:00:00
8592,"KAGEN, STEVEN L.",H6WI08122,WI,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008, 2010, 2012]","[2006, 2008, 2010]",2010-10-07,2011-02-24T10:53:11
8593,"KAHLE, RICHARD",H8CA50171,CA,Challenger,,House,[2018],[2018],2018-02-21,2018-04-13T21:15:47
8594,"KAHN, DOUGLAS THOMPSON",H2CA27123,CA,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994, 1996, 1998]","[1992, 1994, 1996]",1995-10-10,2002-04-03T00:00:00
8595,"KAHN, LYNN SANDRA",H8NY21351,NY,Challenger,GREEN PARTY,House,[2018],[2018],2018-07-02,2018-07-02T21:13:49
8596,"KAHN, LYNN SANDRA",P60005808,US,Open seat,INDEPENDENT,President,"[2016, 2018]",[2016],2015-02-09,2018-02-17T09:16:20
8597,"KAHN, ROGER F",H0GA07083,GA,Open seat,DEMOCRATIC PARTY,House,"[2000, 2002, 2004]","[2000, 2002]",2004-03-26,2002-04-12T00:00:00
8598,"KAHN, SANFORD W",H8CA32039,CA,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 2012, 2016]","[1988, 1990, 1992, 2012, 2016]",2012-02-21,2016-06-06T21:00:43
8599,"KAIFESH, LAWRENCE JOSEPH",H4IL08126,IL,Challenger,REPUBLICAN PARTY,House,"[2014, 2016]",[2014],2013-10-07,2015-04-02T15:52:44
8600,"KAIGLER, STEPHANIE A",H2GA02064,GA,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994]",[1992],1992-05-11,2002-03-30T00:00:00
8601,"KAIMAN, JON",H6NY03254,NY,Challenger,DEMOCRATIC PARTY,House,"[2016, 2018]","[2016, 2018]",2016-11-21,2017-05-05T21:04:59
8602,"KAINE, TIMOTHY MICHAEL",S2VA00142,VA,Incumbent,DEMOCRATIC PARTY,Senate,"[2012, 2014, 2016, 2018]","[2012, 2018]",2018-08-30,2018-08-31T21:04:28
8603,"KAIRNES, GERALD JAMES",H8PA12119,PA,Challenger,INDEPENDENT,House,[2018],[2018],2018-04-05,2018-04-09T21:07:45
8604,"KAIRNES, GERALD JAMES",H6PA10125,PA,Challenger,INDEPENDENT,House,"[2016, 2018]",[2016],2016-03-02,2016-03-16T21:02:32
8605,"KAIS, SHELLEY M",H4AZ02135,AZ,Challenger,REPUBLICAN PARTY,House,"[2014, 2016]",[2014],2013-10-29,2015-04-02T15:52:44
8606,"KAITES, JOHN PETER",H2AZ02071,AZ,Challenger,REPUBLICAN PARTY,House,"[1992, 1994]",[1992],1991-06-07,2002-03-30T00:00:00
8607,"KAJTAZOVIC, ANESA",H4IA01101,IA,Open seat,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2013-07-13,2015-04-02T15:52:44
8608,"KALB, LARRY A",H0WA02155,WA,Challenger,DEMOCRATIC PARTY,House,[2010],[2010],2010-03-02,2010-06-24T22:15:26
8609,"KALEKA, AMARDEEP",H4WI01130,WI,Challenger,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2013-11-19,2015-04-02T15:52:44
8610,"KALK, BRIAN",H2ND00099,ND,Open seat,REPUBLICAN PARTY,House,[2012],[2012],2011-05-26,2011-08-01T23:09:05
8611,"KALK, BRIAN ",S0ND00127,ND,Open seat,REPUBLICAN PARTY,Senate,[2012],[2012],2011-04-26,2011-07-19T23:25:34
8612,"KALLAS, CAROLINE KASTEN",H6IL07016,IL,Challenger,REPUBLICAN PARTY,House,"[1986, 1988]",[1986],1986-04-01,2002-03-30T00:00:00
8613,"KALLAS, JOSEPH C.",H0WI06152,WI,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012, 2014]","[2010, 2012]",2012-10-26,2013-04-26T09:04:30
8614,"KALLGREN, CYNTHIA",H2MI12156,MI,Challenger,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2012-06-07,2013-04-26T09:04:30
8615,"KALMICK, DANIEL FREDERICK",H8CA46088,CA,Challenger,DEMOCRATIC PARTY,House,[2008],[2008],2008-02-06,2008-04-04T00:00:00
8616,"KALOGIANIS, CHUCK",H2FL09079,FL,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008, 2010, 2012, 2014]",[2002],2001-02-21,2013-01-08T22:19:59
8617,"KALOI, KIMO",H2HI02292,HI,Challenger,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2002-10-20,2002-11-19T00:00:00
8618,"KALOOGIAN, HOWARD",H6CA50076,CA,Open seat,REPUBLICAN PARTY,House,"[2006, 2008, 2010]",[2006],2006-01-24,2009-04-29T00:00:00
8619,"KALOOGIAN, HOWARD",S4CA00282,CA,Challenger,REPUBLICAN PARTY,Senate,"[2004, 2006]",[2004],2004-03-04,2004-03-08T00:00:00
8620,"KAMILEWICZ, DEXTER J",H6ME01199,ME,Challenger,INDEPENDENT,House,"[2006, 2008, 2010]",[2006],2006-02-09,2009-05-27T00:00:00
8621,"KAMMER, KERRY",H4MI09042,MI,Challenger,REPUBLICAN PARTY,House,"[1994, 1996]",[1994],1994-01-06,2002-04-02T00:00:00
8622,"KANDER, JASON",S6MO00362,MO,Challenger,DEMOCRATIC PARTY,Senate,"[2016, 2018]",[2016],2016-10-11,2018-02-17T09:16:20
8623,"KANE, BETTY ANN",H0DC00041,DC,Challenger,DEMOCRATIC PARTY,House,"[1990, 1992, 1994, 1996]",[1990],1990-03-21,2002-04-02T00:00:00
8624,"KANE, GINO",H8CA53092,CA,Challenger,REPUBLICAN PARTY,House,[2018],[2018],2018-03-20,2018-04-13T21:15:47
8625,"KANEL, GILL G",H0CA39064,CA,Challenger,DEMOCRATIC PARTY,House,"[2000, 2002]",[2000],2000-04-10,2002-04-12T00:00:00
8626,"KANE, TIM",H8OH12263,OH,Open seat,REPUBLICAN PARTY,House,[2018],[2018],2018-01-19,2018-04-18T21:13:54
8627,"KANE, TIMOTHY JOSEPH",H2CA49176,CA,Challenger,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2001-05-17,2002-04-12T00:00:00
8628,"KANEW, JUSTIN",H8TN07068,TN,Open seat,DEMOCRATIC PARTY,House,[2018],[2018],2017-05-31,2018-01-09T21:09:43
8629,"KANGAS, GEORGE I",H2IL13013,IL,,REPUBLICAN PARTY,House,"[1982, 1984]",[1982],1981-06-17,2002-03-30T00:00:00
8630,"KANG, SUKHEE",H2CA48087,CA,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014]",[2012],2011-10-15,2013-04-26T09:04:30
8631,"KANNENSOHN, MARGARET H",H4KY00018,KY,Open seat,DEMOCRATIC PARTY,House,[2004],[2004],2003-09-17,2005-03-02T00:00:00
8632,"KANNO, JOHN",H6CA18107,CA,Challenger,REPUBLICAN PARTY,House,"[2006, 2008, 2010]",[2006],2005-04-28,2009-04-29T00:00:00
8633,"KANUTH, DAVID",H4CA33143,CA,Open seat,DEMOCRATIC PARTY,House,"[2014, 2016, 2018]",[2014],2014-02-28,2015-04-02T15:52:44
8634,"KAPALKO, PAUL A",H0NJ03088,NJ,Challenger,REPUBLICAN PARTY,House,"[1990, 1992, 1994, 1996]",[1990],1990-05-23,2002-04-02T00:00:00
8635,"KAPANKE, DAN",H0WI03068,WI,Challenger,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2009-09-14,2011-02-24T10:53:12
8636,"KAPATA, LEON",S2CT00041,CT,,DEMOCRATIC PARTY,Senate,"[1982, 1984]",[1982],1981-08-18,2002-03-30T00:00:00
8637,"KAPCHE, RONALD A",H0TX07089,TX,Open seat,REPUBLICAN PARTY,House,[2000],[2000],1999-07-01,2002-04-07T00:00:00
8638,"KAPLAN, ANNA",H6NY03205,NY,Open seat,DEMOCRATIC PARTY,House,[2016],[2016],2016-01-11,2016-04-21T21:06:43
8639,"KAPLAN, KENNETH R",S2NJ00437,NJ,Challenger,LIBERTARIAN PARTY,Senate,"[2012, 2014, 2016, 2018]",[2012],2012-07-18,2018-02-17T09:16:20
8640,"KAPLAN, MARK ALAN",H2VT01019,VT,Challenger,DEMOCRATIC PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992, 1994]",[1982],1982-08-31,2002-03-30T00:00:00
8641,"KAPLAN, RICHARD A",H8NY28075,NY,Challenger,REPUBLICAN PARTY,House,"[1998, 2000]",[1998],1998-05-18,2002-04-07T00:00:00
8642,"KAPLE, BOBBY",H8GA06369,GA,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-10-14,2018-02-07T21:13:27
8643,"KAPTUR, MARCY HON. M.C.",H2OH09031,OH,Incumbent,DEMOCRATIC PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]",2017-02-13,2017-02-28T20:59:29
8644,"KARAM, CHARLES GEORGE",H6MO02277,MO,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008, 2010, 2012, 2014]",[2006],2006-04-07,2009-04-29T22:11:29
8645,"KARGER, FRED",P20002564,US,Challenger,REPUBLICAN PARTY,President,[2012],[2012],2011-03-23,2011-07-19T23:25:34
8646,"KARIM, ANNISA",H8FL25023,FL,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2018-04-10,2018-04-25T21:12:43
8647,"KARLL, JO ANN",H4MO03148,MO,Challenger,DEMOCRATIC PARTY,House,"[2004, 2006]",[2004],2004-06-01,2006-06-16T00:00:00
8648,"KARNES, DAVID",S8NE00034,NE,Challenger,REPUBLICAN PARTY,Senate,"[1988, 1990, 1992, 1994, 1996]",[1988],1988-10-17,2002-04-02T00:00:00
8649,"KARPAN, KATHY",S6WY00118,WY,Challenger,DEMOCRATIC PARTY,Senate,"[1996, 1998, 2000, 2002]",[1996],1996-10-01,2002-04-12T00:00:00
8650,"KARTUS, JACK L",H2AL07017,AL,,DEMOCRATIC PARTY,House,"[1982, 1984]",[1982],1982-07-15,2002-03-30T00:00:00
8651,"KASAL, PETER JOHN",H4MN02011,MN,Challenger,DEMOCRATIC-FARM-LABOR,House,[1984],[1984],1984-04-16,2002-03-30T00:00:00
8652,"KASICH, JOHN R",H2OH12027,OH,Challenger,REPUBLICAN PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008]","[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000]",1999-04-02,2002-04-12T00:00:00
8653,"KASICH, JOHN R",P60003670,US,Open seat,REPUBLICAN PARTY,President,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2016, 2018]","[1996, 2000, 2016]",2015-07-23,2018-02-17T09:16:20
8654,"KASPEROWICZ, RAYMOND",H0MA10058,MA,Open seat,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2010-02-09,2011-02-24T10:53:12
8655,"KASSELA, FRANK",H4NV03092,NV,Challenger,DEMOCRATIC PARTY,House,[2014],[2014],2013-10-24,2014-02-04T22:11:14
8656,"KASSEL, GLEN",H2MI15019,MI,Challenger,REPUBLICAN PARTY,House,"[1982, 1984, 1986, 1988, 1990]","[1982, 1984, 1986, 1988, 1990]",1990-05-07,2002-03-30T00:00:00
8657,"KASTEN, ROBERT W JR",S0WI00072,WI,Challenger,REPUBLICAN PARTY,Senate,"[1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998]","[1980, 1986, 1992]",1992-06-12,2002-04-03T00:00:00
8658,"KASZAK, NANCY",H2IL05076,IL,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008]",[2002],2001-08-01,2002-04-12T00:00:00
8659,"KASZAK, NANCY",H4IL05056,IL,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996]","[1994, 1996]",1995-02-28,2002-04-02T00:00:00
8660,"KASZANS, ROSEMARY D DR",H6GA01067,GA,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998]",[1996],1996-05-15,2002-04-03T00:00:00
8661,"KATHURIA, CHIRINJEEV S DR",S4IL00271,IL,Open seat,REPUBLICAN PARTY,Senate,[2004],[2004],2003-08-20,2004-02-20T00:00:00
8662,"KATKO, JOHN M",H4NY24073,NY,Incumbent,REPUBLICAN PARTY,House,"[2014, 2016, 2018]","[2014, 2016, 2018]",2017-01-30,2017-04-10T20:57:55
8663,"KATS, MARINA",H8PA13083,PA,Challenger,REPUBLICAN PARTY,House,[2008],[2008],2008-05-05,2008-05-12T00:00:00
8664,"KATSORHIS, KERRY JOHN",H6NY07107,NY,Challenger,REPUBLICAN PARTY,House,"[1996, 1998, 2000, 2002]",[1996],1996-02-15,2002-04-12T00:00:00
8665,"KATZEN, JAY K",H2VA09069,VA,Challenger,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2002-04-11,2002-05-22T00:00:00
8666,"KATZ, HOWARD",S2MA00030,MA,,LIBERTARIAN PARTY,Senate,"[1982, 1984]",[1982],1982-02-12,2002-03-30T00:00:00
8667,"KATZ, HOWARD LOUIS",H0CA49089,CA,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2009-12-11,2011-02-24T10:53:12
8668,"KATZ, LEWIS ROBERT",H6OH11145,OH,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008, 2010]",[2006],2005-12-08,2009-04-29T00:00:00
8669,"KATZMAN, KENNETH",H4NY17028,NY,Challenger,REPUBLICAN PARTY,House,"[1984, 1986, 1988, 1990, 1992]",[1984],1983-12-15,2002-03-30T00:00:00
8670,"KATZ, MELINDA R",H8NY09117,NY,Challenger,DEMOCRATIC PARTY,House,"[1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016]",[1998],1997-12-02,2002-04-12T13:13:26
8671,"KATZ, MYRON B",H0LA01178,LA,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2010-08-05,2011-02-24T10:53:11
8672,"KATZ, RUTH",H4NJ02058,NJ,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996, 1998]","[1994, 1996]",1996-04-10,2002-04-03T00:00:00
8673,"KAUFFMAN, JOHN JAY",H2MO06111,MO,Challenger,DEMOCRATIC PARTY,House,[1992],[1992],1992-08-06,2002-03-30T00:00:00
8674,"KAUFMAN, A. ROBERT",H6MD07269,MD,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998, 2002]","[1996, 2000]",1996-02-22,2002-07-25T00:00:00
8675,"KAUFMAN, JOSEPH ""JOE""",H2FL20043,FL,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]","[2012, 2014, 2016, 2018]",2017-07-26,2017-08-03T21:00:33
8676,"KAUFMAN, STEVE",H6FL04154,FL,Open seat,REPUBLICAN PARTY,House,[2016],[2016],2016-06-20,2016-08-17T21:29:25
8677,"KAUN, SUSAN",H6WA05098,WA,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998, 2000]",[1996],1996-03-13,2002-04-07T00:00:00
8678,"KAUS, ROBERT MICHAEL",S0CA00363,CA,Challenger,DEMOCRATIC PARTY,Senate,[2010],[2010],2010-04-05,2010-06-08T22:18:06
8679,"KAVANAGH, CAROLYN ROSE",H2MI11174,MI,Open seat,REPUBLICAN PARTY,House,[2012],[2012],2012-09-04,2012-09-20T22:21:56
