Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
New Hampshire Senate - Brown vs. Shaheen,CEA/Hickman Analytics (D),"Shaheen 49, Brown 43",Shaheen +6,2014-05-07,2014
Montana Senate - Daines vs. Walsh,CEA/Hickman Analytics (D),"Daines 49, Walsh 37",Daines +12,2014-05-07,2014
Iowa Senate - Jacobs vs. Braley,CEA/Hickman Analytics (D),"Braley 43, Jacobs 42",Braley +1,2014-05-07,2014
Georgia Senate - Republican Primary (May 20),InsiderAdvantage,"Perdue 26, Kingston 17, Handel 18, Broun 12, Gingrey 11",Perdue +8,2014-05-09,2014
Louisiana Senate Open Primary (Nov. 4),SMOR,"Landrieu 36, Cassidy 35, Maness 7, Hollis 4",Landrieu +1,2014-05-09,2014
North Carolina Senate - Tillis vs. Hagan,Rasmussen Reports,"Hagan 44, Tillis 45",Tillis +1,2014-05-09,2014
New Hampshire Senate - Brown vs. Shaheen,Dartmouth,"Shaheen 39, Brown 36",Shaheen +3,2014-05-10,2014
Georgia Senate - Perdue vs. Nunn,Atlanta Journal-Constitution,"Perdue 45, Nunn 46",Nunn +1,2014-05-10,2014
Georgia Senate - Kingston vs. Nunn,Atlanta Journal-Constitution,"Nunn 50, Kingston 40",Nunn +10,2014-05-10,2014
Georgia Senate - Broun vs. Nunn,Atlanta Journal-Constitution,"Nunn 51, Broun 38",Nunn +13,2014-05-10,2014
Georgia Senate - Gingrey vs. Nunn,Atlanta Journal-Constitution,"Nunn 52, Gingrey 37",Nunn +15,2014-05-10,2014
Georgia Senate - Handel vs. Nunn,Atlanta Journal-Constitution,"Nunn 49, Handel 41",Nunn +8,2014-05-10,2014
Arkansas Senate - Cotton vs. Pryor,NBC News/Marist,"Pryor 51, Cotton 40",Pryor +11,2014-05-12,2014
Nebraska Senate - Republican Primary (May 13),Magellan Strategies (R),"Sasse 38, Dinsdale 24, Osborn 20",Sasse +14,2014-05-12,2014
Georgia Senate - Republican Primary (May 20),NBC News/Marist,"Perdue 23, Kingston 18, Handel 14, Broun 11, Gingrey 11",Perdue +5,2014-05-12,2014
Kentucky Senate - GOP Primary (May 20),NBC News/Marist,"McConnell 57, Bevin 25",McConnell +32,2014-05-12,2014
Kentucky Senate - McConnell vs. Grimes,NBC News/Marist,"McConnell 46, Grimes 45",McConnell +1,2014-05-12,2014
Georgia Senate - Handel vs. Nunn,NBC News/Marist,"Nunn 42, Handel 39",Nunn +3,2014-05-12,2014
Georgia Senate - Kingston vs. Nunn,NBC News/Marist,"Nunn 43, Kingston 43",Tie,2014-05-12,2014
Georgia Senate - Broun vs. Nunn,NBC News/Marist,"Nunn 42, Broun 43",Broun +1,2014-05-12,2014
Georgia Senate - Gingrey vs. Nunn,NBC News/Marist,"Nunn 44, Gingrey 42",Nunn +2,2014-05-12,2014
Georgia Senate - Perdue vs. Nunn,NBC News/Marist,"Perdue 45, Nunn 41",Perdue +4,2014-05-12,2014
Georgia Senate - Perdue vs. Nunn,Saint Leo University,"Perdue 41, Nunn 37",Perdue +4,2014-05-13,2014
Georgia Senate - Republican Primary (May 20),SurveyUSA,"Perdue 27, Kingston 19, Handel 16, Broun 10, Gingrey 10",Perdue +8,2014-05-13,2014
Georgia Senate - Republican Primary (May 20),Saint Leo University,"Perdue 26, Kingston 16, Handel 15, Broun 13, Gingrey 8",Perdue +10,2014-05-13,2014
Alaska Senate - Republican Primary (Aug. 19),PPP (D),"Sullivan 40, Treadwell 26, Miller 14",Sullivan +14,2014-05-13,2014
North Carolina Senate - Tillis vs. Hagan,PPP (D),"Tillis 41, Hagan 41",Tie,2014-05-13,2014
Alaska Senate - Sullivan vs. Begich,PPP (D)**,"Sullivan 37, Begich 42",Begich +5,2014-05-13,2014
Alaska Senate - Treadwell vs. Begich,PPP (D)**,"Begich 41, Treadwell 33",Begich +8,2014-05-13,2014
Alaska Senate - Miller vs. Begich,PPP (D)**,"Begich 43, Miller 27",Begich +16,2014-05-13,2014
Georgia Senate - Kingston vs. Nunn,Saint Leo University,"Nunn 39, Kingston 38",Nunn +1,2014-05-13,2014
Georgia Senate - Broun vs. Nunn,Saint Leo University,"Nunn 42, Broun 38",Nunn +4,2014-05-13,2014
Georgia Senate - Gingrey vs. Nunn,Saint Leo University,"Nunn 42, Gingrey 36",Nunn +6,2014-05-13,2014
North Carolina Senate - Tillis vs. Hagan,PPP (D),"Hagan 41, Tillis 41",Tie,2014-05-13,2014
Georgia Senate - Handel vs. Nunn,Saint Leo University,"Nunn 39, Handel 38",Nunn +1,2014-05-13,2014
South Dakota Senate - Rounds vs. Weiland vs. Pressler,SurveyUSA*,"Rounds 44, Weiland 30, Pressler 17",Rounds +14,2014-05-15,2014
Oklahoma Senate - GOP Primary (June 24),Sooner Poll/News 9/News on 6,"Lankford 34, Shannon 32, Brogdon 5",Lankford +2,2014-05-15,2014
Georgia Senate - Republican Primary (May 20),InsiderAdvantage,"Perdue 27, Kingston 19, Handel 17, Broun 10, Gingrey 9",Perdue +8,2014-05-15,2014
Iowa Senate - Republican Primary (June 3),Loras College,"Ernst 31, Jacobs 19, Clovis 10, Whitaker 7",Ernst +12,2014-05-15,2014
South Dakota Senate - Rounds vs. Weiland,SurveyUSA**,"Rounds 44, Weiland 30",Rounds +14,2014-05-15,2014
Nebraska Senate - Sasse vs. Domina,Rasmussen Reports,"Sasse 51, Domina 34",Sasse +17,2014-05-16,2014
Kentucky Senate - McConnell vs. Grimes,Courier-Journal/SurveyUSA*,"McConnell 42, Grimes 43",Grimes +1,2014-05-17,2014
Kentucky Senate - GOP Primary (May 20),Courier-Journal/SurveyUSA,"McConnell 55, Bevin 35",McConnell +20,2014-05-17,2014
Mississippi Senate - GOP Primary (June 3),The Polling Company (R),"McDaniel 43, Cochran 39",McDaniel +4,2014-05-19,2014
Kentucky Senate - GOP Primary (May 20),Human Events (R)*,"McConnell 48, Bevin 34",McConnell +14,2014-05-19,2014
West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 48, Tennant 39",Capito +9,2014-05-19,2014
Georgia Senate - Republican Primary (May 20),InsiderAdvantage,"Perdue 26, Kingston 17, Handel 17, Broun 10, Gingrey 11",Perdue +9,2014-05-19,2014
Iowa Senate - Ernst vs. Braley,PPP (D),"Ernst 39, Braley 45",Braley +6,2014-05-21,2014
Iowa Senate - Republican Primary (June 3),PPP (D),"Ernst 34, Jacobs 18, Clovis 14, Whitaker 6",Ernst +16,2014-05-21,2014
Iowa Senate - Jacobs vs. Braley,PPP (D),"Braley 42, Jacobs 36",Braley +6,2014-05-21,2014
Iowa Senate - Whitaker vs. Braley,PPP (D),"Braley 43, Whitaker 36",Braley +7,2014-05-21,2014
Iowa Senate - Clovis vs. Braley,PPP (D),"Braley 43, Clovis 34",Braley +9,2014-05-21,2014
Georgia Senate - Kingston vs. Nunn,Rasmussen Reports,"Nunn 47, Kingston 41",Nunn +6,2014-05-23,2014
Georgia Senate - Perdue vs. Nunn,Rasmussen Reports,"Perdue 42, Nunn 45",Nunn +3,2014-05-23,2014
Oregon Senate - Wehby vs. Merkley,Rasmussen Reports,"Merkley 47, Wehby 37",Merkley +10,2014-05-25,2014
Michigan Senate - Land vs. Peters,EPIC-MRA,"Peters 44, Land 38",Peters +6,2014-05-27,2014
West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 49, Tennant 38",Capito +11,2014-05-27,2014
Hawaii Senate - Democratic Primary (Aug. 9),Honolulu Civil Beat/MRG,"Schatz 44, Hanabusa 39",Schatz +5,2014-05-27,2014
Kentucky Senate - McConnell vs. Grimes,Wenzel Strategies (R),"McConnell 47, Grimes 44",McConnell +3,2014-05-28,2014
Michigan Senate - Land vs. Peters,Detroit News,"Peters 40, Land 35",Peters +5,2014-05-28,2014
North Carolina Senate - Tillis vs. Hagan,Civitas (R),"Tillis 46, Hagan 41",Tillis +5,2014-05-29,2014
Oregon Senate - Wehby vs. Merkley,PPP (D),"Merkley 50, Wehby 36",Merkley +14,2014-05-29,2014
Arkansas Senate - Cotton vs. Pryor,Rasmussen Reports,"Pryor 43, Cotton 47",Cotton +4,2014-05-29,2014
Kentucky Senate - McConnell vs. Grimes,Rasmussen Reports,"McConnell 48, Grimes 41",McConnell +7,2014-05-30,2014
Mississippi Senate - GOP Primary (June 3),RRH/PMI (R),"McDaniel 41, Cochran 42",Cochran +1,2014-05-30,2014
Mississippi Senate - GOP Primary (June 3),Harper (R),"McDaniel 40, Cochran 45",Cochran +5,2014-05-31,2014
Iowa Senate - Republican Primary (June 3),Des Moines Register,"Ernst 36, Jacobs 18, Clovis 11, Whitaker 13",Ernst +18,2014-06-01,2014
Mississippi Senate - GOP Primary (June 3),Chism Strategies (D),"McDaniel 46, Cochran 44",McDaniel +2,2014-06-01,2014
Idaho Senate - Risch vs. Mitchell,Rasmussen Reports,"Risch 54, Mitchell 29",Risch +25,2014-06-03,2014
South Carolina Senate - GOP Primary (June 10),Clemson Palmetto Poll,"Graham 49, Bright 9, Cash 3, Mace 2, Connor 1, Bowers 1",Graham +40,2014-06-05,2014
Iowa Senate - Ernst vs. Braley,Rasmussen Reports,"Ernst 45, Braley 44",Ernst +1,2014-06-06,2014
Iowa Senate - Ernst vs. Braley,Loras College,"Ernst 48, Braley 42",Ernst +6,2014-06-06,2014
Georgia Senate - Perdue vs. Nunn,SurveyUSA*,"Perdue 43, Nunn 38",Perdue +5,2014-06-07,2014
Georgia Senate - Kingston vs. Nunn,SurveyUSA*,"Nunn 37, Kingston 43",Kingston +6,2014-06-07,2014
Georgia Senate - GOP Primary Runoff (July 22),SurveyUSA,"Kingston 52, Perdue 41",Kingston +11,2014-06-07,2014
South Dakota Senate - Rounds vs. Weiland vs. Pressler,Rasmussen Reports,"Rounds 44, Weiland 29, Pressler 18",Rounds +15,2014-06-09,2014
Mississippi Senate - GOP Runoff (June 24),Chism Strategies (D),"McDaniel 51, Cochran 48",McDaniel +3,2014-06-09,2014
Michigan Senate - Land vs. Peters,Mitchell Research,"Peters 45, Land 42",Peters +3,2014-06-12,2014
Montana Senate - Daines vs. Walsh,Rasmussen Reports,"Daines 53, Walsh 35",Daines +18,2014-06-12,2014
Arkansas Senate - Cotton vs. Pryor,Magellan Strategies (R),"Cotton 49, Pryor 45",Cotton +4,2014-06-12,2014
Kentucky Senate - McConnell vs. Grimes,Magellan Strategies (R),"McConnell 46, Grimes 49",Grimes +3,2014-06-12,2014
Oregon Senate - Wehby vs. Merkley,SurveyUSA,"Merkley 50, Wehby 32",Merkley +18,2014-06-12,2014
Texas Senate - Cornyn vs. Alameel,UT/Texas Tribune*,"Cornyn 36, Alameel 25",Cornyn +11,2014-06-12,2014
Arkansas Senate - Cotton vs. Pryor,Magellan Strategies (R),"Pryor 45, Cotton 49",Cotton +4,2014-06-12,2014
Virginia Senate - Gillespie vs. Warner,Rasmussen Reports,"Warner 53, Gillespie 36",Warner +17,2014-06-13,2014
Minnesota Senate - McFadden vs. Franken,KSTP/SurveyUSA*,"Franken 48, McFadden 42",Franken +6,2014-06-13,2014
Louisiana Senate - Cassidy vs. Landrieu,Magellan Strategies (R),"Cassidy 50, Landrieu 44",Cassidy +6,2014-06-13,2014
North Carolina Senate - Tillis vs. Hagan,Magellan Strategies (R),"Hagan 47, Tillis 46",Hagan +1,2014-06-13,2014
Georgia Senate - GOP Primary Runoff (July 22),InsiderAdvantage,"Kingston 46, Perdue 35",Kingston +11,2014-06-13,2014
Alaska Senate - Republican Primary (Aug. 19),Vox Populi/Daily Caller (R),"Sullivan 32, Treadwell 23, Miller 15",Sullivan +9,2014-06-13,2014
Michigan Senate - Land vs. Peters,Magellan Strategies (R),"Peters 50, Land 41",Peters +9,2014-06-16,2014
Mississippi Senate - GOP Runoff (June 24),Chism Strategies (D),"McDaniel 47, Cochran 48",Cochran +1,2014-06-16,2014
Colorado Senate - Gardner vs. Udall,Magellan Strategies (R),"Udall 45, Gardner 47",Gardner +2,2014-06-16,2014
Mississippi Senate - GOP Runoff (June 24),The Polling Company (R),"McDaniel 52, Cochran 40",McDaniel +12,2014-06-16,2014
Minnesota Senate - McFadden vs. Franken,PPP (D),"Franken 49, McFadden 38",Franken +11,2014-06-17,2014
North Carolina Senate - Tillis vs. Hagan,PPP (D),"Hagan 42, Tillis 38",Hagan +4,2014-06-17,2014
Iowa Senate - Ernst vs. Braley,Quinnipiac,"Ernst 40, Braley 44",Braley +4,2014-06-18,2014
New Jersey Senate - Bell vs. Booker,Rasmussen Reports,"Booker 48, Bell 35",Booker +13,2014-06-19,2014
New Hampshire Senate - Brown vs. Shaheen,Suffolk/Boston Herald*,"Shaheen 49, Brown 39",Shaheen +10,2014-06-19,2014
Mississippi Senate - GOP Runoff (June 24),NSON Opinion Strategy,"McDaniel 44, Cochran 45",Cochran +1,2014-06-20,2014
Mississippi Senate - GOP Runoff (June 24),Chism Strategies (D),"McDaniel 50, Cochran 44",McDaniel +6,2014-06-20,2014
New Hampshire Senate - Brown vs. Shaheen,ARG,"Shaheen 50, Brown 38",Shaheen +12,2014-06-20,2014
Oklahoma Senate - GOP Primary (June 24),Sooner Poll/Tulsa World,"Lankford 41, Shannon 38, Brogdon 3",Lankford +3,2014-06-22,2014
Mississippi Senate - GOP Runoff (June 24),Chism Strategies (D),"McDaniel 52, Cochran 44",McDaniel +8,2014-06-23,2014
Oklahoma Senate - GOP Primary (June 24),Sooner Poll/News 9/News on 6,"Lankford 43, Shannon 35, Brogdon 4",Lankford +8,2014-06-23,2014
Maine Senate - Collins vs. Bellows,Portland Press Herald,"Collins 72, Bellows 17",Collins +55,2014-06-23,2014
Kansas Senate - Wolf vs. Taylor,SurveyUSA**,"Taylor 36, Wolf 33",Taylor +3,2014-06-26,2014
Kansas Senate - Roberts vs. Taylor,SurveyUSA**,"Roberts 43, Taylor 33",Roberts +10,2014-06-26,2014
Kansas Senate - Republican Primary (Aug. 5),SurveyUSA,"Roberts 56, Wolf 23",Roberts +33,2014-06-26,2014
North Carolina Senate - Tillis vs. Hagan,Civitas (R),"Hagan 47, Tillis 43",Hagan +4,2014-06-26,2014
Mississippi Senate - Cochran vs. Childers,Rasmussen Reports,"Cochran 46, Childers 34",Cochran +12,2014-06-27,2014
Colorado Senate - Gardner vs. Udall,Rasmussen Reports,"Udall 43, Gardner 42",Udall +1,2014-06-30,2014
Louisiana Senate - Cassidy vs. Landrieu,PPP (D),"Cassidy 47, Landrieu 47",Tie,2014-07-01,2014
Michigan Senate - Land vs. Peters,PPP (D),"Peters 41, Land 36",Peters +5,2014-07-01,2014
Louisiana Senate Open Primary (Nov. 4),PPP (D),"Landrieu 44, Cassidy 27, Maness 8, Hollis 5",Landrieu +17,2014-07-01,2014
New Jersey Senate - Bell vs. Booker,Monmouth,"Booker 43, Bell 23",Booker +20,2014-07-02,2014
New Hampshire Senate - Brown vs. Shaheen,WMUR/UNH,"Shaheen 52, Brown 40",Shaheen +12,2014-07-09,2014
Arkansas Senate - Cotton vs. Pryor,Impact Management Group (R),"Cotton 47, Pryor 43",Cotton +4,2014-07-09,2014
Louisiana Senate - Cassidy vs. Landrieu,Rasmussen Reports,"Cassidy 43, Landrieu 46",Landrieu +3,2014-07-10,2014
Georgia Senate - GOP Primary Runoff (July 22),InsiderAdvantage,"Kingston 42, Perdue 41",Kingston +1,2014-07-11,2014
South Carolina Senate - Graham vs. Hutto,Rasmussen Reports,"Graham 49, Hutto 30",Graham +19,2014-07-11,2014
South Carolina Senate Special Election - Scott vs. Dickerson,Rasmussen Reports,"Scott 53, Dickerson 31",Scott +22,2014-07-14,2014
South Carolina Senate - Scott vs. Dickerson,Rasmussen Reports,"Scott 53, Dickerson 31",Scott +22,2014-07-14,2014
Colorado Senate - Gardner vs. Udall,NBC News/Marist,"Udall 48, Gardner 41",Udall +7,2014-07-15,2014
Michigan Senate - Land vs. Peters,NBC News/Marist,"Peters 43, Land 37",Peters +6,2014-07-15,2014
Mississippi Senate - Cochran vs. Childers,PPP (D),"Cochran 41, Childers 26",Cochran +15,2014-07-15,2014
Michigan Senate - Land vs. Peters,Vanguard/Denno Research (D),"Peters 40, Land 37",Peters +3,2014-07-16,2014
New Hampshire Senate - Brown vs. Shaheen,NBC News/Marist,"Shaheen 50, Brown 42",Shaheen +8,2014-07-16,2014
Iowa Senate - Ernst vs. Braley,NBC News/Marist,"Ernst 43, Braley 43",Tie,2014-07-16,2014
Georgia Senate - GOP Primary Runoff (July 22),InsiderAdvantage,"Kingston 46, Perdue 41",Kingston +5,2014-07-17,2014
Colorado Senate - Gardner vs. Udall,Quinnipiac,"Udall 42, Gardner 44",Gardner +2,2014-07-17,2014
Michigan Senate - Land vs. Peters,EPIC-MRA,"Peters 45, Land 36",Peters +9,2014-07-18,2014
Oklahoma Senate - Inhofe vs. Silverstein,Rasmussen Reports,"Inhofe 58, Silverstein 27",Inhofe +31,2014-07-20,2014
Georgia Senate - Perdue vs. Nunn,Landmark Communications,"Perdue 42, Nunn 48",Nunn +6,2014-07-20,2014
Georgia Senate - Kingston vs. Nunn,Landmark Communications,"Nunn 49, Kingston 41",Nunn +8,2014-07-20,2014
Georgia Senate - GOP Primary Runoff (July 22),Landmark Communications,"Kingston 48, Perdue 41",Kingston +7,2014-07-20,2014
Montana Senate - Daines vs. Walsh,PPP (D),"Daines 46, Walsh 39",Daines +7,2014-07-21,2014
North Carolina Senate - Tillis vs. Hagan,PPP (D),"Tillis 39, Hagan 42",Hagan +3,2014-07-22,2014
Colorado Senate - Gardner vs. Udall,PPP (D),"Udall 44, Gardner 43",Udall +1,2014-07-22,2014
Virginia Senate - Gillespie vs. Warner,Roanoke College*,"Warner 47, Gillespie 22",Warner +25,2014-07-23,2014
Kansas Senate - Roberts vs. Taylor,SurveyUSA**,"Roberts 38, Taylor 33",Roberts +5,2014-07-24,2014
Kansas Senate - Republican Primary (Aug. 5),SurveyUSA,"Roberts 50, Wolf 30",Roberts +20,2014-07-24,2014
Kansas Senate - Wolf vs. Taylor,SurveyUSA**,"Taylor 34, Wolf 33",Taylor +1,2014-07-24,2014
South Carolina Senate - Graham vs. Hutto,Palmetto Politics Poll/VSS*,"Graham 46, Hutto 33",Graham +13,2014-07-25,2014
Georgia Senate - Perdue vs. Nunn,Rasmussen Reports,"Perdue 46, Nunn 40",Perdue +6,2014-07-25,2014
Mississippi Senate - Cochran vs. Childers,CBS News/NYT/YouGov,"Cochran 47, Childers 33",Cochran +14,2014-07-28,2014
Minnesota Senate - McFadden vs. Franken,CBS News/NYT/YouGov,"Franken 55, McFadden 41",Franken +14,2014-07-28,2014
West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 51, Tennant 43",Capito +8,2014-07-28,2014
North Carolina Senate - Tillis vs. Hagan,CBS News/NYT/YouGov,"Tillis 48, Hagan 47",Tillis +1,2014-07-28,2014
Arkansas Senate - Cotton vs. Pryor,CBS News/NYT/YouGov,"Cotton 50, Pryor 46",Cotton +4,2014-07-28,2014
Colorado Senate - Gardner vs. Udall,CBS News/NYT/YouGov,"Udall 51, Gardner 47",Udall +4,2014-07-28,2014
Louisiana Senate - Cassidy vs. Landrieu,CBS News/NYT/YouGov,"Cassidy 47, Landrieu 46",Cassidy +1,2014-07-28,2014
Virginia Senate - Gillespie vs. Warner,CBS News/NYT/YouGov,"Warner 53, Gillespie 43",Warner +10,2014-07-28,2014
Kentucky Senate - McConnell vs. Grimes,CBS News/NYT/YouGov,"McConnell 50, Grimes 46",McConnell +4,2014-07-28,2014
New Hampshire Senate - Brown vs. Shaheen,CBS News/NYT/YouGov,"Shaheen 52, Brown 42",Shaheen +10,2014-07-28,2014
Michigan Senate - Land vs. Peters,CBS News/NYT/YouGov,"Peters 47, Land 48",Land +1,2014-07-28,2014
Georgia Senate - Perdue vs. Nunn,CBS News/NYT/YouGov,"Perdue 50, Nunn 44",Perdue +6,2014-07-28,2014
Georgia Senate - Perdue vs. Nunn,Landmark Communications*,"Perdue 43, Nunn 47",Nunn +4,2014-07-28,2014
Alaska Senate - Sullivan vs. Begich,CBS News/NYT/YouGov,"Begich 49, Sullivan 37",Begich +12,2014-07-28,2014
Alaska Senate - Treadwell vs. Begich,CBS News/NYT/YouGov,"Begich 47, Treadwell 45",Begich +2,2014-07-28,2014
Montana Senate - Daines vs. Walsh,CBS News/NYT/YouGov,"Daines 56, Walsh 40",Daines +16,2014-07-28,2014
Oregon Senate - Wehby vs. Merkley,CBS News/NYT/YouGov,"Merkley 55, Wehby 41",Merkley +14,2014-07-28,2014
Iowa Senate - Ernst vs. Braley,CBS News/NYT/YouGov,"Ernst 48, Braley 47",Ernst +1,2014-07-28,2014
New Mexico Senate - Weh vs. Udall,CBS News/NYT/YouGov,"Udall 52, Weh 44",Udall +8,2014-07-28,2014
Massachusetts Senate - Herr vs. Markey,CBS News/NYT/YouGov,"Markey 61, Herr 34",Markey +27,2014-07-28,2014
Kansas Senate - Roberts vs. Taylor,CBS News/NYT/YouGov,"Roberts 54, Taylor 37",Roberts +17,2014-07-28,2014
New Mexico Senate - Weh vs. Udall,Rasmussen Reports,"Udall 54, Weh 33",Udall +21,2014-07-28,2014
New Jersey Senate - Bell vs. Booker,CBS News/NYT/YouGov,"Booker 50, Bell 43",Booker +7,2014-07-28,2014
Illinois Senate - Oberweis vs. Durbin,CBS News/NYT/YouGov,"Durbin 51, Oberweis 43",Durbin +8,2014-07-28,2014
Hawaii Senate - Cavasso vs. Schatz,CBS News/NYT/YouGov,"Schatz 58, Cavasso 22",Schatz +36,2014-07-28,2014
Nebraska Senate - Sasse vs. Domina,CBS News/NYT/YouGov,"Sasse 58, Domina 35",Sasse +23,2014-07-28,2014
Hawaii Senate - Cavasso vs. Hanabusa,CBS News/NYT/YouGov,"Hanabusa 64, Cavasso 24",Hanabusa +40,2014-07-28,2014
Massachusetts Senate - Addivinola vs. Markey,CBS News/NYT/YouGov,"Markey 59, Addivinola 34",Markey +25,2014-07-28,2014
South Carolina Senate - Graham vs. Hutto,CBS News/NYT/YouGov,"Graham 51, Hutto 38",Graham +13,2014-07-28,2014
Oklahoma Senate - Inhofe vs. Silverstein,CBS News/NYT/YouGov,"Inhofe 56, Silverstein 32",Inhofe +24,2014-07-28,2014
South Carolina Senate - Scott vs. Dickerson,CBS News/NYT/YouGov,"Scott 54, Dickerson 40",Scott +14,2014-07-28,2014
Oklahoma Senate - Lankford vs. Rogers,CBS News/NYT/YouGov,"Lankford 59, Rogers 32",Lankford +27,2014-07-28,2014
Texas Senate - Cornyn vs. Alameel,CBS News/NYT/YouGov,"Cornyn 55, Alameel 38",Cornyn +17,2014-07-28,2014
Tennessee Senate - Alexander vs. Ball,CBS News/NYT/YouGov,"Alexander 48, Ball 33",Alexander +15,2014-07-28,2014
Tennessee Senate - Alexander vs. Adams,CBS News/NYT/YouGov,"Alexander 48, Adams 35",Alexander +13,2014-07-28,2014
Idaho Senate - Risch vs. Mitchell,CBS News/NYT/YouGov,"Risch 65, Mitchell 31",Risch +34,2014-07-28,2014
Maine Senate - Collins vs. Bellows,CBS News/NYT/YouGov,"Collins 65, Bellows 29",Collins +36,2014-07-28,2014
Wyoming Senate - Enzi vs. Hardy,CBS News/NYT/YouGov,"Enzi 68, Hardy 23",Enzi +45,2014-07-28,2014
Wyoming Senate - Enzi vs. Wilde,CBS News/NYT/YouGov,"Enzi 73, Wilde 21",Enzi +52,2014-07-28,2014
Oklahoma Senate - Lankford vs. Johnson,CBS News/NYT/YouGov,"Lankford 57, Johnson 34",Lankford +23,2014-07-28,2014
Arkansas Senate - Cotton vs. Pryor,Talk Business Poll*,"Cotton 44, Pryor 42",Cotton +2,2014-07-29,2014
Michigan Senate - Land vs. Peters,Mitchell Research,"Peters 43, Land 38",Peters +5,2014-07-29,2014
Kentucky Senate - McConnell vs. Grimes,Courier-Journal/SurveyUSA,"McConnell 47, Grimes 45",McConnell +2,2014-07-29,2014
Michigan Senate - Land vs. Peters,Rasmussen Reports,"Peters 45, Land 39",Peters +6,2014-07-30,2014
Hawaii Senate - Democratic Primary (Aug. 9),Honolulu Civil Beat/MRG,"Schatz 49, Hanabusa 41",Schatz +8,2014-08-01,2014
Hawaii Senate - Democratic Primary (Aug. 9),Honolulu Star-Advertiser,"Schatz 42, Hanabusa 50",Hanabusa +8,2014-08-04,2014
Arkansas Senate - Cotton vs. Pryor,PPP (D),"Cotton 43, Pryor 41",Cotton +2,2014-08-05,2014
North Carolina Senate - Tillis vs. Hagan,Civitas (R),"Tillis 45, Hagan 43",Tillis +2,2014-08-05,2014
Tennessee Senate - GOP Primary (August 7),RRH/PMI (R),"Alexander 41, Carr 29, Flinn 5",Alexander +12,2014-08-05,2014
Michigan Senate - Land vs. Peters,MRG (R),"Peters 47, Land 40",Peters +7,2014-08-06,2014
Michigan Senate - Land vs. Peters,Harper (R),"Peters 45, Land 44",Peters +1,2014-08-06,2014
New Jersey Senate - Bell vs. Booker,Quinnipiac,"Booker 47, Bell 37",Booker +10,2014-08-06,2014
Virginia Senate - Gillespie vs. Warner,Hampton University,"Warner 55, Gillespie 32",Warner +23,2014-08-06,2014
Texas Senate - Cornyn vs. Alameel,Rasmussen Reports,"Cornyn 47, Alameel 29",Cornyn +18,2014-08-06,2014
North Carolina Senate - Tillis vs. Hagan,Rasmussen Reports,"Tillis 45, Hagan 40",Tillis +5,2014-08-07,2014
Michigan Senate - Land vs. Peters,Mitchell Research,"Peters 45, Land 44",Peters +1,2014-08-07,2014
Oregon Senate - Wehby vs. Merkley,SurveyUSA,"Merkley 52, Wehby 33",Merkley +19,2014-08-07,2014
Alaska Senate - Sullivan vs. Begich,PPP (D),"Begich 45, Sullivan 41",Begich +4,2014-08-07,2014
Alaska Senate - Treadwell vs. Begich,PPP (D),"Begich 44, Treadwell 41",Begich +3,2014-08-07,2014
Alaska Senate - Republican Primary (Aug. 19),PPP (D),"Sullivan 35, Treadwell 29, Miller 20",Sullivan +6,2014-08-07,2014
Kansas Senate - Roberts vs. Taylor,Rasmussen Reports,"Roberts 44, Taylor 40",Roberts +4,2014-08-11,2014
Kentucky Senate - McConnell vs. Grimes,PPP (D),"McConnell 47, Grimes 42",McConnell +5,2014-08-12,2014
Tennessee Senate - Alexander vs. Ball,Rasmussen Reports,"Alexander 47, Ball 32",Alexander +15,2014-08-14,2014
Georgia Senate - Perdue vs. Nunn,InsiderAdvantage*,"Perdue 47, Nunn 40",Perdue +7,2014-08-15,2014
Minnesota Senate - McFadden vs. Franken,Rasmussen Reports,"Franken 50, McFadden 42",Franken +8,2014-08-18,2014
Kansas Senate - Roberts vs. Taylor,PPP (D),"Roberts 43, Taylor 39",Roberts +4,2014-08-19,2014
Kansas Senate - Roberts vs. Taylor vs. Orman,PPP (D)*,"Orman 23, Roberts 32, Taylor 25",Roberts +7,2014-08-19,2014
New Mexico Senate - Weh vs. Udall,Albuquerque Journal,"Udall 53, Weh 35",Udall +18,2014-08-19,2014
North Carolina Senate - Tillis vs. Hagan,PPP (D),"Hagan 43, Tillis 42",Hagan +1,2014-08-19,2014
North Carolina Senate - Tillis vs. Hagan,USA Today/Suffolk*,"Hagan 45, Tillis 43",Hagan +2,2014-08-20,2014
West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 33",Capito +17,2014-08-21,2014
New Hampshire Senate - Brown vs. Shaheen,WMUR/UNH,"Shaheen 46, Brown 44",Shaheen +2,2014-08-21,2014
Montana Senate - Daines vs. Curtis,Rasmussen Reports,"Daines 55, Curtis 35",Daines +20,2014-08-21,2014
Georgia Senate - Perdue vs. Nunn,SurveyUSA*,"Perdue 50, Nunn 41",Perdue +9,2014-08-22,2014
Wyoming Senate - Enzi vs. Hardy,Rasmussen Reports,"Enzi 63, Hardy 27",Enzi +36,2014-08-22,2014
