Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 62",Wrong Track +33,2014-01-08,2014
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 60",Wrong Track +38,2014-01-09,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 61",Wrong Track +34,2014-01-14,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-01-15,2014
Direction of Country,Reuters/Ipsos,"Right Direction 20, Wrong Track 62",Wrong Track +42,2014-01-16,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 60",Wrong Track +33,2014-01-22,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-01-22,2014
Direction of Country,GWU/Battleground,"Right Direction 24, Wrong Track 67",Wrong Track +43,2014-01-22,2014
Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 64",Wrong Track +29,2014-01-23,2014
Direction of Country,CBS News,"Right Direction 33, Wrong Track 61",Wrong Track +28,2014-01-23,2014
Direction of Country,ABC News/Wash Post,"Right Direction 34, Wrong Track 64",Wrong Track +30,2014-01-26,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 63",Wrong Track +35,2014-01-28,2014
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 62",Wrong Track +40,2014-01-29,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 60",Wrong Track +30,2014-01-29,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2014-01-29,2014
Direction of Country,NBC News/Marist,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-02-05,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 61",Wrong Track +34,2014-02-05,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2014-02-05,2014
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 62",Wrong Track +39,2014-02-11,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-02-12,2014
Direction of Country,McClatchy/Marist,"Right Direction 31, Wrong Track 66",Wrong Track +35,2014-02-12,2014
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 62",Wrong Track +33,2014-02-12,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 62",Wrong Track +36,2014-02-19,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-02-19,2014
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 61",Wrong Track +29,2014-02-26,2014
Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 63",Wrong Track +31,2014-02-26,2014
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2014-02-26,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 62",Wrong Track +36,2014-03-05,2014
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2014-03-05,2014
Direction of Country,Bloomberg,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-03-11,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2014-03-12,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 26, Wrong Track 65",Wrong Track +39,2014-03-12,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2014-03-12,2014
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 58",Wrong Track +34,2014-03-14,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2014-03-19,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 62",Wrong Track +33,2014-03-19,2014
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 59",Wrong Track +37,2014-03-21,2014
Direction of Country,GWU/Battleground,"Right Direction 28, Wrong Track 64",Wrong Track +36,2014-03-25,2014
Direction of Country,CBS News,"Right Direction 36, Wrong Track 61",Wrong Track +25,2014-03-25,2014
Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 62",Wrong Track +25,2014-03-26,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 57",Wrong Track +27,2014-03-26,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-03-26,2014
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2014-04-02,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 61",Wrong Track +31,2014-04-02,2014
Direction of Country,NPR/GQR/Resurgent,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-04-03,2014
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 30, Wrong Track 60",Wrong Track +30,2014-04-03,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-04-09,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 62",Wrong Track +36,2014-04-11,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 59",Wrong Track +29,2014-04-16,2014
Direction of Country,McClatchy/Marist,"Right Direction 33, Wrong Track 64",Wrong Track +31,2014-04-16,2014
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 61",Wrong Track +30,2014-04-16,2014
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 58",Wrong Track +33,2014-04-18,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-04-23,2014
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 60",Wrong Track +31,2014-04-24,2014
Direction of Country,National Journal,"Right Direction 27, Wrong Track 62",Wrong Track +35,2014-04-28,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 60",Wrong Track +30,2014-04-29,2014
Direction of Country,ABC News/Wash Post,"Right Direction 28, Wrong Track 69",Wrong Track +41,2014-04-29,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2014-04-30,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 27, Wrong Track 63",Wrong Track +36,2014-04-30,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2014-05-07,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2014-05-07,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 58",Wrong Track +30,2014-05-14,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-05-14,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-05-21,2014
Direction of Country,CBS News,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-05-22,2014
Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 62",Wrong Track +25,2014-05-27,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 62",Wrong Track +33,2014-05-28,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2014-06-04,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-06-11,2014
Direction of Country,Bloomberg,"Right Direction 26, Wrong Track 64",Wrong Track +38,2014-06-12,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 63",Wrong Track +37,2014-06-13,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2014-06-18,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 25, Wrong Track 63",Wrong Track +38,2014-06-18,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 63",Wrong Track +36,2014-06-19,2014
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2014-06-24,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2014-06-25,2014
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2014-07-02,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2014-07-03,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2014-07-09,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2014-07-09,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2014-07-16,2014
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 63",Wrong Track +38,2014-07-17,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 61",Wrong Track +34,2014-07-22,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2014-07-23,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 63",Wrong Track +36,2014-07-29,2014
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 68",Wrong Track +44,2014-07-30,2014
Direction of Country,CBS News,"Right Direction 25, Wrong Track 67",Wrong Track +42,2014-08-06,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 22, Wrong Track 71",Wrong Track +49,2014-08-06,2014
Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 69",Wrong Track +46,2014-08-06,2014
Direction of Country,Associated Press/GfK,"Right Direction 28, Wrong Track 72",Wrong Track +44,2014-08-07,2014
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 58",Wrong Track +29,2014-08-08,2014
Direction of Country,McClatchy/Marist,"Right Direction 27, Wrong Track 66",Wrong Track +39,2014-08-12,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2014-08-13,2014
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 33, Wrong Track 60",Wrong Track +27,2014-08-14,2014
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 67",Wrong Track +43,2014-08-20,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 60",Wrong Track +30,2014-08-22,2014
Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 69",Wrong Track +46,2014-08-27,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 63",Wrong Track +37,2014-08-28,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 66",Wrong Track +41,2014-09-03,2014
Direction of Country,GWU/Battleground,"Right Direction 21, Wrong Track 70",Wrong Track +49,2014-09-03,2014
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 63",Wrong Track +38,2014-09-04,2014
Direction of Country,ABC News/Wash Post,"Right Direction 31, Wrong Track 66",Wrong Track +35,2014-09-09,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 23, Wrong Track 67",Wrong Track +44,2014-09-10,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 65",Wrong Track +39,2014-09-10,2014
Direction of Country,The Economist/YouGov,"Right Direction 24, Wrong Track 62",Wrong Track +38,2014-09-12,2014
Direction of Country,CBS News/NY Times,"Right Direction 27, Wrong Track 66",Wrong Track +39,2014-09-17,2014
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2014-09-17,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2014-09-18,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 65",Wrong Track +40,2014-09-24,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-09-26,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 65",Wrong Track +40,2014-10-01,2014
Direction of Country,Associated Press/GfK,"Right Direction 32, Wrong Track 68",Wrong Track +36,2014-10-02,2014
Direction of Country,McClatchy/Marist,"Right Direction 35, Wrong Track 62",Wrong Track +27,2014-10-03,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 58",Wrong Track +31,2014-10-04,2014
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2014-10-08,2014
Direction of Country,CBS News,"Right Direction 29, Wrong Track 65",Wrong Track +36,2014-10-08,2014
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 30, Wrong Track 58",Wrong Track +28,2014-10-09,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 60",Wrong Track +33,2014-10-10,2014
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 58",Wrong Track +35,2014-10-10,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2014-10-15,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 61",Wrong Track +31,2014-10-15,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 25, Wrong Track 65",Wrong Track +40,2014-10-15,2014
Direction of Country,ABC News/Wash Post,"Right Direction 29, Wrong Track 68",Wrong Track +39,2014-10-15,2014
Direction of Country,CBS News,"Right Direction 26, Wrong Track 65",Wrong Track +39,2014-10-18,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 66",Wrong Track +40,2014-10-22,2014
Direction of Country,Associated Press/GfK,"Right Direction 31, Wrong Track 69",Wrong Track +38,2014-10-22,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 62",Wrong Track +34,2014-10-23,2014
Direction of Country,ABC News/Wash Post,"Right Direction 26, Wrong Track 70",Wrong Track +44,2014-10-28,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 66",Wrong Track +40,2014-10-29,2014
Direction of Country,CBS News,"Right Direction 27, Wrong Track 66",Wrong Track +39,2014-10-29,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 62",Wrong Track +32,2014-10-31,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 27, Wrong Track 63",Wrong Track +36,2014-11-02,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2014-11-05,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 59",Wrong Track +31,2014-11-07,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2014-11-12,2014
Direction of Country,The Economist/YouGov,"Right Direction 24, Wrong Track 62",Wrong Track +38,2014-11-13,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2014-11-19,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 25, Wrong Track 65",Wrong Track +40,2014-11-19,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 64",Wrong Track +38,2014-11-20,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2014-11-26,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 63",Wrong Track +36,2014-11-29,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2014-12-03,2014
Direction of Country,The Economist/YouGov,"Right Direction 23, Wrong Track 67",Wrong Track +44,2014-12-04,2014
Direction of Country,Bloomberg,"Right Direction 24, Wrong Track 65",Wrong Track +41,2014-12-09,2014
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 65",Wrong Track +39,2014-12-10,2014
Direction of Country,New York Times,"Right Direction 26, Wrong Track 67",Wrong Track +41,2014-12-11,2014
Direction of Country,Associated Press/GfK,"Right Direction 33, Wrong Track 66",Wrong Track +33,2014-12-11,2014
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 63",Wrong Track +37,2014-12-13,2014
Direction of Country,McClatchy/Marist,"Right Direction 29, Wrong Track 66",Wrong Track +37,2014-12-16,2014
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2014-12-17,2014
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 27, Wrong Track 64",Wrong Track +37,2014-12-17,2014
Direction of Country,GWU/Battleground,"Right Direction 21, Wrong Track 69",Wrong Track +48,2014-12-18,2014
Direction of Country,The Economist/YouGov,"Right Direction 22, Wrong Track 68",Wrong Track +46,2014-12-18,2014
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 63",Wrong Track +36,2014-12-24,2014
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 64",Wrong Track +37,2014-12-29,2014
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 61",Wrong Track +31,2014-12-31,2014
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 56",Wrong Track +26,2015-01-02,2015
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 58",Wrong Track +25,2015-01-07,2015
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 57",Wrong Track +25,2015-01-07,2015
Direction of Country,CBS News,"Right Direction 38, Wrong Track 56",Wrong Track +18,2015-01-14,2015
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 61",Wrong Track +31,2015-01-14,2015
Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 60",Wrong Track +23,2015-01-19,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 56",Wrong Track +30,2015-01-19,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 59",Wrong Track +28,2015-01-20,2015
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 60",Wrong Track +30,2015-01-21,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2015-01-21,2015
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 59",Wrong Track +31,2015-01-23,2015
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 57",Wrong Track +22,2015-01-28,2015
Direction of Country,USA Today/Suffolk,"Right Direction 36, Wrong Track 53",Wrong Track +17,2015-01-28,2015
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 60",Wrong Track +28,2015-02-01,2015
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 54",Wrong Track +21,2015-02-01,2015
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 58",Wrong Track +24,2015-02-04,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2015-02-05,2015
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 54",Wrong Track +23,2015-02-06,2015
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 43, Wrong Track 49",Wrong Track +6,2015-02-06,2015
Direction of Country,Associated Press/GfK,"Right Direction 39, Wrong Track 60",Wrong Track +21,2015-02-09,2015
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 58",Wrong Track +24,2015-02-11,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2015-02-13,2015
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 55",Wrong Track +25,2015-02-13,2015
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 60",Wrong Track +28,2015-02-18,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 60",Wrong Track +31,2015-02-19,2015
Direction of Country,CBS News,"Right Direction 37, Wrong Track 56",Wrong Track +19,2015-02-20,2015
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 61",Wrong Track +30,2015-02-25,2015
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 60",Wrong Track +33,2015-02-26,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 59",Wrong Track +32,2015-02-28,2015
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2015-03-04,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 34, Wrong Track 61",Wrong Track +27,2015-03-04,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 57",Wrong Track +31,2015-03-05,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 60",Wrong Track +31,2015-03-06,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 60",Wrong Track +28,2015-03-09,2015
Direction of Country,McClatchy/Marist,"Right Direction 33, Wrong Track 63",Wrong Track +30,2015-03-10,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2015-03-11,2015
Direction of Country,National Journal,"Right Direction 33, Wrong Track 54",Wrong Track +21,2015-03-16,2015
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 61",Wrong Track +29,2015-03-16,2015
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2015-03-20,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2015-03-22,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 64",Wrong Track +37,2015-03-23,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2015-03-26,2015
Direction of Country,CBS News,"Right Direction 30, Wrong Track 62",Wrong Track +32,2015-03-26,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2015-03-30,2015
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 63",Wrong Track +38,2015-04-02,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 57",Wrong Track +30,2015-04-03,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2015-04-06,2015
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 60",Wrong Track +28,2015-04-10,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2015-04-13,2015
Direction of Country,USA Today/Suffolk,"Right Direction 25, Wrong Track 60",Wrong Track +35,2015-04-14,2015
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 58",Wrong Track +28,2015-04-15,2015
Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 61",Wrong Track +30,2015-04-16,2015
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 62",Wrong Track +30,2015-04-20,2015
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 63",Wrong Track +36,2015-04-24,2015
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 57",Wrong Track +28,2015-04-24,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2015-04-27,2015
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 56",Wrong Track +28,2015-04-30,2015
Direction of Country,Associated Press/GfK,"Right Direction 38, Wrong Track 62",Wrong Track +24,2015-05-02,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2015-05-02,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 62",Wrong Track +34,2015-05-04,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-05-04,2015
Direction of Country,CBS News/NY Times,"Right Direction 31, Wrong Track 63",Wrong Track +32,2015-05-06,2015
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 63",Wrong Track +37,2015-05-08,2015
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 56",Wrong Track +26,2015-05-11,2015
Direction of Country,GWU/Battleground,"Right Direction 26, Wrong Track 65",Wrong Track +39,2015-05-11,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 63",Wrong Track +35,2015-05-12,2015
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 58",Wrong Track +28,2015-05-19,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2015-05-20,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 63",Wrong Track +35,2015-05-22,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-05-26,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2015-05-29,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 60",Wrong Track +31,2015-05-29,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2015-06-01,2015
Direction of Country,CBS News/NY Times,"Right Direction 33, Wrong Track 63",Wrong Track +30,2015-06-02,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 61",Wrong Track +32,2015-06-05,2015
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 56",Wrong Track +29,2015-06-05,2015
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2015-06-09,2015
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2015-06-12,2015
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2015-06-13,2015
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-06-16,2015
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 65",Wrong Track +38,2015-06-19,2015
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 61",Wrong Track +30,2015-06-22,2015
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2015-06-23,2015
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 57",Wrong Track +29,2015-06-26,2015
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 64",Wrong Track +39,2015-06-26,2015
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2015-06-30,2015
Direction of Country,USA Today/Suffolk,"Right Direction 26, Wrong Track 58",Wrong Track +32,2015-07-01,2015
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 61",Wrong Track +29,2015-07-02,2015
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 53",Wrong Track +22,2015-07-02,2015
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 61",Wrong Track +27,2015-07-07,2015
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2015-07-09,2015
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2015-07-13,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 62",Wrong Track +34,2015-07-13,2015
Direction of Country,USA Today/Suffolk,"Right Direction 26, Wrong Track 58",Wrong Track +32,2015-07-15,2015
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 59",Wrong Track +31,2015-07-17,2015
Direction of Country,Associated Press-GfK,"Right Direction 35, Wrong Track 63",Wrong Track +28,2015-07-17,2015
Direction of Country,ABC News/Wash Post,"Right Direction 31, Wrong Track 65",Wrong Track +34,2015-07-20,2015
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 63",Wrong Track +31,2015-07-20,2015
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2015-07-24,2015
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2015-07-24,2015
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2015-07-27,2015
