,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
9324,2014-09-10,Christopher Newport Univ.*,Virginia Senate - Gillespie vs. Warner,"Warner 53, Gillespie 31",Warner +22,2014
9325,2014-09-10,Rasmussen Reports,Ohio Governor - Kasich vs. FitzGerald,"Kasich 50, FitzGerald 30",Kasich +20,2014
9326,2014-09-10,SurveyUSA*,South Dakota Governor - Daugaard vs. Wismer,"Daugaard 54, Wismer 34",Daugaard +20,2014
9327,2014-09-10,Loras College,Iowa 1st District - Blum vs. Murphy,"Murphy 35, Blum 33",Murphy +2,2014
9328,2014-09-10,Loras College,Iowa 2nd District - Miller-Meeks vs. Loebsack,"Loebsack 49, Miller-Meeks 32",Loebsack +17,2014
9329,2014-09-10,Loras College,Iowa 3rd District - Young vs. Appel,"Appel 40, Young 34",Appel +6,2014
9330,2014-09-10,Loras College,Iowa 4th District - King vs. Mowrer,"King 47, Mowrer 36",King +11,2014
9331,2014-09-10,SurveyUSA,California 21st District - Valadao vs. Renteria,"Valadao 56, Renteria 37",Valadao +19,2014
9332,2014-09-09,ABC News/Wash Post,2014 Generic Congressional Vote,"Republicans 47, Democrats 44",Republicans +3,2014
9333,2014-09-09,ABC News/Wash Post,President Obama Job Approval,"Approve 42, Disapprove 54",Disapprove +12,2014
9334,2014-09-09,ABC News/Wash Post,Public Approval of Health Care Law,"For/Favor 43, Against/Oppose 53",Against/Oppose +10,2014
9335,2014-09-09,ABC News/Wash Post,Direction of Country,"Right Direction 31, Wrong Track 66",Wrong Track +35,2014
9336,2014-09-09,ABC News/Wash Post,Congressional Job Approval,"Approve 13, Disapprove 82",Disapprove +69,2014
9337,2014-09-09,CNN/Opinion Research,Congressional Job Approval,"Approve 14, Disapprove 83",Disapprove +69,2014
9338,2014-09-09,PPP (D),Michigan Senate - Land vs. Peters,"Peters 45, Land 40",Peters +5,2014
9339,2014-09-09,Mason-Dixon*,Florida Governor - Scott vs. Crist,"Scott 43, Crist 41",Scott +2,2014
9340,2014-09-09,PPP (D),Florida Governor - Scott vs. Crist,"Scott 41, Crist 44",Crist +3,2014
9341,2014-09-09,SurveyUSA*,Florida Governor - Scott vs. Crist,"Scott 45, Crist 44",Scott +1,2014
9342,2014-09-09,PPP (D),Michigan Governor - Snyder vs. Schauer,"Snyder 46, Schauer 44",Snyder +2,2014
9343,2014-09-09,Rasmussen Reports,Maine Governor - LePage vs. Michaud vs. Cutler,"Michaud 43, LePage 39, Cutler 15",Michaud +4,2014
9344,2014-09-09,Loras College,Iowa Governor - Branstad vs. Hatch,"Branstad 56, Hatch 34",Branstad +22,2014
9345,2014-09-09,PPP (D),Florida: Christie vs. Clinton,"Clinton 46, Christie 38",Clinton +8,2014
9346,2014-09-09,PPP (D),Florida: Paul vs. Clinton,"Clinton 48, Paul 40",Clinton +8,2014
9347,2014-09-09,PPP (D),Florida: Bush vs. Clinton,"Clinton 46, Bush 44",Clinton +2,2014
9348,2014-09-09,PPP (D),Florida: Huckabee vs. Clinton,"Clinton 49, Huckabee 40",Clinton +9,2014
9349,2014-09-09,PPP (D),Florida: Rubio vs. Clinton,"Clinton 49, Rubio 42",Clinton +7,2014
9350,2014-09-09,PPP (D),Florida: Cruz vs. Clinton,"Clinton 51, Cruz 36",Clinton +15,2014
9351,2014-09-09,PPP (D),Michigan: Christie vs. Clinton,"Clinton 48, Christie 36",Clinton +12,2014
9352,2014-09-09,PPP (D),Michigan: Paul vs. Clinton,"Clinton 49, Paul 39",Clinton +10,2014
9353,2014-09-09,PPP (D),Michigan: Bush vs. Clinton,"Clinton 49, Bush 38",Clinton +11,2014
9354,2014-09-09,PPP (D),Michigan: Huckabee vs. Clinton,"Clinton 50, Huckabee 38",Clinton +12,2014
9355,2014-09-09,PPP (D),Michigan: Cruz vs. Clinton,"Clinton 51, Cruz 37",Clinton +14,2014
9356,2014-09-08,CNN/Opinion Research,President Obama Job Approval,"Approve 43, Disapprove 55",Disapprove +12,2014
9357,2014-09-08,Rasmussen Reports*,Public Approval of Health Care Law,"For/Favor 41, Against/Oppose 56",Against/Oppose +15,2014
9358,2014-09-08,Gallup,Congressional Job Approval,"Approve 14, Disapprove 82",Disapprove +68,2014
9359,2014-09-08,Rasmussen Reports,2014 Generic Congressional Vote,"Republicans 41, Democrats 39",Republicans +2,2014
9360,2014-09-08,Loras College,Iowa Senate - Ernst vs. Braley,"Braley 45, Ernst 41",Braley +4,2014
9361,2014-09-08,SurveyUSA*,Kansas Senate - Roberts vs. Taylor vs. Orman,"Orman 37, Roberts 36, Taylor 10",Orman +1,2014
9362,2014-09-08,Rasmussen Reports,Colorado Governor - Beauprez vs. Hickenlooper,"Hickenlooper 44, Beauprez 45",Beauprez +1,2014
9363,2014-09-08,SurveyUSA*,Kansas Governor - Brownback vs. Davis,"Davis 47, Brownback 40",Davis +7,2014
9364,2014-09-08,WBUR/MassINC,Massachusetts Governor - Democratic Primary (September 9),"Coakley 41, Grossman 20, Berwick 12",Coakley +21,2014
9365,2014-09-08,Remington Research Group (R),Massachusetts 6th District - Democratic Primary (September 9),"Tierney 43, Moulton 42, DeFranco 4",Tierney +1,2014
9366,2014-09-07,NBC News/Marist*,Kentucky Senate - McConnell vs. Grimes,"McConnell 47, Grimes 39",McConnell +8,2014
9367,2014-09-07,NBC News/Marist,Colorado Senate - Gardner vs. Udall,"Udall 48, Gardner 42",Udall +6,2014
9368,2014-09-07,NBC News/Marist*,Arkansas Senate - Cotton vs. Pryor,"Cotton 45, Pryor 40",Cotton +5,2014
9369,2014-09-07,NBC News/Marist*,Colorado Governor - Beauprez vs. Hickenlooper,"Hickenlooper 43, Beauprez 39",Hickenlooper +4,2014
9370,2014-09-07,NBC News/Marist*,Arkansas Governor - Hutchinson vs. Ross,"Hutchinson 48, Ross 39",Hutchinson +9,2014
9371,2014-09-07,CBS News/NYT/YouGov,Alaska Senate - Sullivan vs. Begich,"Sullivan 44, Begich 38",Sullivan +6,2014
9372,2014-09-07,CBS News/NYT/YouGov,Arkansas Senate - Cotton vs. Pryor,"Cotton 43, Pryor 39",Cotton +4,2014
9373,2014-09-07,CBS News/NYT/YouGov,Colorado Senate - Gardner vs. Udall,"Udall 46, Gardner 43",Udall +3,2014
9374,2014-09-07,CBS News/NYT/YouGov*,Georgia Senate - Perdue vs. Nunn,"Perdue 47, Nunn 41",Perdue +6,2014
9375,2014-09-07,CBS News/NYT/YouGov,Iowa Senate - Ernst vs. Braley,"Braley 44, Ernst 42",Braley +2,2014
9376,2014-09-07,CBS News/NYT/YouGov,Kentucky Senate - McConnell vs. Grimes,"McConnell 47, Grimes 42",McConnell +5,2014
9377,2014-09-07,CBS News/NYT/YouGov,Michigan Senate - Land vs. Peters,"Peters 42, Land 43",Land +1,2014
9378,2014-09-07,CBS News/NYT/YouGov*,North Carolina Senate - Tillis vs. Hagan,"Hagan 42, Tillis 43",Tillis +1,2014
9379,2014-09-07,CBS News/NYT/YouGov,Louisiana Senate Open Primary (Nov. 4),"Landrieu 36, Cassidy 38, Maness 10",Cassidy +2,2014
9380,2014-09-07,CBS News/NYT/YouGov,New Hampshire Senate - Brown vs. Shaheen,"Shaheen 47, Brown 41",Shaheen +6,2014
9381,2014-09-07,CBS News/NYT/YouGov,Minnesota Senate - McFadden vs. Franken,"Franken 49, McFadden 41",Franken +8,2014
9382,2014-09-07,CBS News/NYT/YouGov,Illinois Senate - Oberweis vs. Durbin,"Durbin 50, Oberweis 38",Durbin +12,2014
9383,2014-09-07,CBS News/NYT/YouGov,Montana Senate - Daines vs. Curtis,"Daines 53, Curtis 35",Daines +18,2014
9384,2014-09-07,CBS News/NYT/YouGov,New Jersey Senate - Bell vs. Booker,"Booker 52, Bell 37",Booker +15,2014
9385,2014-09-07,CBS News/NYT/YouGov,Oregon Senate - Wehby vs. Merkley,"Merkley 51, Wehby 39",Merkley +12,2014
9386,2014-09-07,CBS News/NYT/YouGov,Virginia Senate - Gillespie vs. Warner,"Warner 51, Gillespie 39",Warner +12,2014
9387,2014-09-07,CBS News/NYT/YouGov,West Virginia Senate - Capito vs. Tennant,"Capito 55, Tennant 32",Capito +23,2014
9388,2014-09-07,CBS News/NYT/YouGov,South Dakota Senate - Rounds vs. Weiland vs. Pressler,"Rounds 43, Weiland 29, Pressler 6",Rounds +14,2014
9389,2014-09-07,CBS News/NYT/YouGov,Delaware Senate - Wade vs. Coons,"Coons 48, Wade 35",Coons +13,2014
9390,2014-09-07,CBS News/NYT/YouGov,Idaho Senate - Risch vs. Mitchell,"Risch 59, Mitchell 25",Risch +34,2014
9391,2014-09-07,CBS News/NYT/YouGov,Massachusetts Senate - Addivinola vs. Markey,"Markey 53, Addivinola 28",Markey +25,2014
9392,2014-09-07,CBS News/NYT/YouGov,Maine Senate - Collins vs. Bellows,"Collins 58, Bellows 26",Collins +32,2014
9393,2014-09-07,CBS News/NYT/YouGov,Mississippi Senate - Cochran vs. Childers,"Cochran 46, Childers 31",Cochran +15,2014
9394,2014-09-07,CBS News/NYT/YouGov,Nebraska Senate - Sasse vs. Domina,"Sasse 56, Domina 30",Sasse +26,2014
9395,2014-09-07,CBS News/NYT/YouGov,New Mexico Senate - Weh vs. Udall,"Udall 54, Weh 36",Udall +18,2014
9396,2014-09-07,CBS News/NYT/YouGov,Oklahoma Senate - Lankford vs. Johnson,"Lankford 61, Johnson 28",Lankford +33,2014
9397,2014-09-07,CBS News/NYT/YouGov,Oklahoma Senate - Inhofe vs. Silverstein,"Inhofe 60, Silverstein 28",Inhofe +32,2014
9398,2014-09-07,CBS News/NYT/YouGov,Rhode Island Senate - Zaccaria vs. Reed,"Reed 52, Zaccaria 32",Reed +20,2014
9399,2014-09-07,CBS News/NYT/YouGov*,South Carolina Senate - Graham vs. Hutto,"Graham 42, Hutto 29",Graham +13,2014
9400,2014-09-07,CBS News/NYT/YouGov,South Carolina Senate - Scott vs. Dickerson,"Scott 54, Dickerson 33",Scott +21,2014
9401,2014-09-07,CBS News/NYT/YouGov,Tennessee Senate - Alexander vs. Ball,"Alexander 47, Ball 32",Alexander +15,2014
9402,2014-09-07,CBS News/NYT/YouGov,Texas Senate - Cornyn vs. Alameel,"Cornyn 55, Alameel 34",Cornyn +21,2014
9403,2014-09-07,CBS News/NYT/YouGov,Wyoming Senate - Enzi vs. Hardy,"Enzi 66, Hardy 21",Enzi +45,2014
9404,2014-09-07,CBS News/NYT/YouGov,Hawaii Senate - Cavasso vs. Schatz,"Schatz 62, Cavasso 27",Schatz +35,2014
9405,2014-09-07,Rasmussen Reports,Oregon Governor - Richardson vs. Kitzhaber,"Kitzhaber 48, Richardson 38",Kitzhaber +10,2014
9406,2014-09-06,Reuters/Ipsos,President Obama Job Approval,"Approve 38, Disapprove 56",Disapprove +18,2014
9407,2014-09-06,Sooner Poll/News 9/News on 6*,Oklahoma Governor - Fallin vs. Dorman,"Fallin 50, Dorman 32",Fallin +18,2014
9408,2014-09-06,Sooner Poll/News 9/News on 6*,Oklahoma Senate - Inhofe vs. Silverstein,"Inhofe 59, Silverstein 27",Inhofe +32,2014
9409,2014-09-06,Sooner Poll/News 9/News on 6*,Oklahoma Senate - Lankford vs. Johnson,"Lankford 58, Johnson 28",Lankford +30,2014
9410,2014-09-06,Rasmussen Reports,Maine Senate - Collins vs. Bellows,"Collins 59, Bellows 31",Collins +28,2014
9411,2014-09-06,Emerson College,Massachusetts 6th District - Democratic Primary (September 9),"Tierney 47, Moulton 44, DeFranco 4",Tierney +3,2014
9412,2014-09-06,Emerson College,Massachusetts 6th District - Tisei vs. Tierney,"Tisei 51, Tierney 43",Tisei +8,2014
9413,2014-09-06,Emerson College,Massachusetts 6th District - Tisei vs. Moulton,"Moulton 44, Tisei 36",Moulton +8,2014
9414,2014-09-05,CNN/Opinion Research,Arkansas Senate - Cotton vs. Pryor,"Cotton 49, Pryor 47",Cotton +2,2014
9415,2014-09-05,Rasmussen Reports,Colorado Senate - Gardner vs. Udall,"Udall 44, Gardner 42",Udall +2,2014
9416,2014-09-05,WeAskAmerica*,Wisconsin Governor - Walker vs. Burke,"Burke 48, Walker 44",Burke +4,2014
9417,2014-09-05,Rasmussen Reports,Oregon Senate - Wehby vs. Merkley,"Merkley 48, Wehby 35",Merkley +13,2014
9418,2014-09-05,Harper (R),Pennsylvania Governor - Corbett vs. Wolf,"Wolf 52, Corbett 41",Wolf +11,2014
9419,2014-09-05,Boston Globe,Massachusetts Governor - Democratic Primary (September 9),"Coakley 47, Grossman 25, Berwick 13",Coakley +22,2014
9420,2014-09-04,,"$('#chart_slider').bjqs({  'width' : 280,  'height' : 248,  'automatic' : false,  'nexttext' : '>',  'prevtext' : '<',  'showmarkers' : false  });  GA_googleFillSlot(""RC_300_by_250_middle"");",,,2014
9421,2014-09-04,The Economist/YouGov,President Obama Job Approval,"Approve 41, Disapprove 56",Disapprove +15,2014
9422,2014-09-04,The Economist/YouGov,Direction of Country,"Right Direction 25, Wrong Track 63",Wrong Track +38,2014
9423,2014-09-04,The Economist/YouGov,Congressional Job Approval,"Approve 8, Disapprove 72",Disapprove +64,2014
9424,2014-09-04,Rasmussen Reports,Louisiana Senate - Cassidy vs. Landrieu,"Cassidy 44, Landrieu 41",Cassidy +3,2014
9425,2014-09-04,Field,California Governor - Kashkari vs. Brown,"Brown 50, Kashkari 34",Brown +16,2014
9426,2014-09-03,GWU/Battleground,2014 Generic Congressional Vote,"Republicans 46, Democrats 42",Republicans +4,2014
9427,2014-09-03,GWU/Battleground,President Obama Job Approval,"Approve 44, Disapprove 51",Disapprove +7,2014
9428,2014-09-03,WBUR/MassINC,Massachusetts Governor - Democratic Primary (September 9),"Coakley 47, Grossman 23, Berwick 6",Coakley +24,2014
9429,2014-09-03,GWU/Battleground,Direction of Country,"Right Direction 21, Wrong Track 70",Wrong Track +49,2014
9430,2014-09-03,Rasmussen Reports,Direction of Country,"Right Direction 25, Wrong Track 66",Wrong Track +41,2014
9431,2014-09-03,GWU/Battleground,Congressional Job Approval,"Approve 16, Disapprove 80",Disapprove +64,2014
9432,2014-09-03,CNN/Opinion Research,Kentucky Senate - McConnell vs. Grimes,"McConnell 50, Grimes 46",McConnell +4,2014
9433,2014-09-03,Rasmussen Reports,Kentucky Senate - McConnell vs. Grimes,"McConnell 46, Grimes 41",McConnell +5,2014
9434,2014-09-03,SurveyUSA*,Florida Governor - Scott vs. Crist,"Scott 43, Crist 45",Crist +2,2014
9435,2014-09-03,TB Times/Bay News 9/News 13/UF,Florida Governor - Scott vs. Crist,"Scott 44, Crist 38",Scott +6,2014
9436,2014-09-03,UMass Lowell/7News*,Massachusetts Governor - Baker vs. Coakley,"Coakley 41, Baker 32",Coakley +9,2014
9437,2014-09-03,WBUR/MassINC*,Massachusetts Governor - Baker vs. Coakley,"Coakley 40, Baker 31",Coakley +9,2014
9438,2014-09-03,UMass Lowell/7News,Massachusetts Governor - Democratic Primary (September 9),"Coakley 52, Grossman 20, Berwick 9",Coakley +32,2014
9439,2014-09-02,WRBL/Ledger-Enquirer/PMB*,Georgia Senate - Perdue vs. Nunn,"Perdue 43, Nunn 45",Nunn +2,2014
9440,2014-09-02,WRBL/Ledger-Enquirer/PMB*,Georgia Governor - Deal vs. Carter,"Deal 44, Carter 42",Deal +2,2014
9441,2014-09-01,Rasmussen Reports,2014 Generic Congressional Vote,"Republicans 41, Democrats 40",Republicans +1,2014
9442,2014-09-01,Sun-Times/WeAskAmerica*,Illinois Senate - Oberweis vs. Durbin,"Durbin 48, Oberweis 41",Durbin +7,2014
9443,2014-09-01,Rasmussen Reports,Oklahoma Senate - Lankford vs. Johnson,"Lankford 58, Johnson 29",Lankford +29,2014
9444,2014-08-31,Courier-Journal/SurveyUSA*,Kentucky Senate - McConnell vs. Grimes,"McConnell 46, Grimes 42",McConnell +4,2014
9445,2014-08-31,Rasmussen Reports,Arizona Governor - Ducey vs. DuVal,"Ducey 40, DuVal 40",Tie,2014
9446,2014-08-30,The West Virginia Poll,West Virginia Senate - Capito vs. Tennant,"Capito 54, Tennant 37",Capito +17,2014
9447,2014-08-29,Boston Globe*,Massachusetts Governor - Baker vs. Coakley,"Coakley 37, Baker 38",Baker +1,2014
9448,2014-08-29,Boston Globe,Massachusetts Governor - Democratic Primary (September 9),"Coakley 46, Grossman 24, Berwick 10",Coakley +22,2014
9449,2014-08-29,Rasmussen Reports,Vermont Governor - Milne vs. Shumlin,"Shumlin 48, Milne 36",Shumlin +12,2014
9450,2014-08-28,USA Today/Pew Research,President Obama Job Approval,"Approve 42, Disapprove 50",Disapprove +8,2014
9451,2014-08-28,Reuters/Ipsos,President Obama Job Approval,"Approve 38, Disapprove 54",Disapprove +16,2014
9452,2014-08-28,The Economist/YouGov,President Obama Job Approval,"Approve 43, Disapprove 56",Disapprove +13,2014
9453,2014-08-28,The Economist/YouGov,Direction of Country,"Right Direction 26, Wrong Track 63",Wrong Track +37,2014
9454,2014-08-28,The Economist/YouGov,Congressional Job Approval,"Approve 7, Disapprove 74",Disapprove +67,2014
9455,2014-08-28,EPIC-MRA,Michigan Senate - Land vs. Peters,"Peters 45, Land 39",Peters +6,2014
9456,2014-08-28,Mitchell Research,Michigan Senate - Land vs. Peters,"Peters 46, Land 44",Peters +2,2014
9457,2014-08-28,Mitchell Research,Michigan Governor - Snyder vs. Schauer,"Snyder 47, Schauer 46",Snyder +1,2014
9458,2014-08-28,Rasmussen Reports,Arkansas Governor - Hutchinson vs. Ross,"Hutchinson 44, Ross 46",Ross +2,2014
9459,2014-08-28,Franklin & Marshall,Pennsylvania Governor - Corbett vs. Wolf,"Wolf 49, Corbett 24",Wolf +25,2014
9460,2014-08-28,Rasmussen Reports,South Carolina Governor - Haley vs. Sheheen,"Haley 51, Sheheen 36",Haley +15,2014
9461,2014-08-27,Rasmussen Reports,Direction of Country,"Right Direction 23, Wrong Track 69",Wrong Track +46,2014
9462,2014-08-27,USA Today/Suffolk*,Iowa Senate - Ernst vs. Braley,"Braley 40, Ernst 40",Tie,2014
9463,2014-08-27,Rasmussen Reports,Arkansas Senate - Cotton vs. Pryor,"Cotton 43, Pryor 44",Pryor +1,2014
9464,2014-08-27,SurveyUSA*,Kansas Senate - Roberts vs. Taylor vs. Orman,"Orman 20, Roberts 37, Taylor 32",Roberts +5,2014
9465,2014-08-27,Marquette University,Wisconsin Governor - Walker vs. Burke,"Burke 49, Walker 47",Burke +2,2014
9466,2014-08-27,EPIC-MRA,Michigan Governor - Snyder vs. Schauer,"Snyder 43, Schauer 45",Schauer +2,2014
9467,2014-08-27,SurveyUSA*,Kansas Governor - Brownback vs. Davis,"Davis 48, Brownback 40",Davis +8,2014
9468,2014-08-27,USA Today/Suffolk*,Iowa Governor - Branstad vs. Hatch,"Branstad 47, Hatch 35",Branstad +12,2014
9469,2014-08-27,USA Today/Suffolk,Iowa Democratic Presidential Caucus,"Clinton 66, Biden 8, Warren 10, Sanders , Cuomo 4, O'Malley 2",Clinton +56,2014
9470,2014-08-27,USA Today/Suffolk,Iowa Republican Presidential Caucus,"Huckabee 13, Bush 7, Ryan 6, Paul 7, Christie 11, Cruz 5, Perry 8, Walker 4, Rubio 5, Santorum 6, Jindal 3",Huckabee +2,2014
9471,2014-08-26,USA Today/Pew Research,2014 Generic Congressional Vote,"Republicans 42, Democrats 47",Democrats +5,2014
9472,2014-08-26,PPP (D),Iowa Senate - Ernst vs. Braley,"Braley 42, Ernst 42",Tie,2014
9473,2014-08-26,KSTP/SurveyUSA*,Minnesota Senate - McFadden vs. Franken,"Franken 51, McFadden 42",Franken +9,2014
9474,2014-08-26,KSTP/SurveyUSA*,Minnesota Governor - Johnson vs. Dayton,"Dayton 49, Johnson 40",Dayton +9,2014
9475,2014-08-26,PPP (D),Iowa Governor - Branstad vs. Hatch,"Branstad 50, Hatch 37",Branstad +13,2014
9476,2014-08-26,Rasmussen Reports,Alaska Governor - Parnell vs. Mallott,"Parnell 47, Mallott 36",Parnell +11,2014
9477,2014-08-25,,"$('#chart_slider').bjqs({  'width' : 280,  'height' : 248,  'automatic' : false,  'nexttext' : '>',  'prevtext' : '<',  'showmarkers' : false  });  GA_googleFillSlot(""RC_300_by_250_middle"");",,,2014
9478,2014-08-25,Rasmussen Reports*,Public Approval of Health Care Law,"For/Favor 43, Against/Oppose 53",Against/Oppose +10,2014
9479,2014-08-25,Rasmussen Reports,2014 Generic Congressional Vote,"Republicans 40, Democrats 39",Republicans +1,2014
9480,2014-08-25,Rasmussen Reports,Alaska Senate - Sullivan vs. Begich,"Sullivan 47, Begich 45",Sullivan +2,2014
9481,2014-08-25,Suffolk/Boston Herald,Massachusetts Governor - Democratic Primary (September 9),"Coakley 42, Grossman 30, Berwick 16",Coakley +12,2014
9482,2014-08-23,SurveyUSA*,Florida Governor - Scott vs. Crist,"Scott 44, Crist 41",Scott +3,2014
9483,2014-08-23,WSB-TV/Landmark*,Georgia Senate - Perdue vs. Nunn,"Perdue 40, Nunn 47",Nunn +7,2014
9484,2014-08-23,WSB-TV/Landmark*,Georgia Governor - Deal vs. Carter,"Deal 40, Carter 44",Carter +4,2014
9485,2014-08-23,Harper (R),Arizona Governor - GOP Primary (August 26),"Ducey 32, Smith 19, Jones 16, Bennett 14, Thomas 7, Riggs 2",Ducey +13,2014
9486,2014-08-22,SurveyUSA*,Georgia Senate - Perdue vs. Nunn,"Perdue 50, Nunn 41",Perdue +9,2014
9487,2014-08-22,SurveyUSA*,Georgia Governor - Deal vs. Carter,"Deal 48, Carter 39",Deal +9,2014
9488,2014-08-22,The Economist/YouGov,President Obama Job Approval,"Approve 44, Disapprove 52",Disapprove +8,2014
9489,2014-08-22,Quinnipiac,New York Governor - Astorino vs. Cuomo,"Cuomo 56, Astorino 28",Cuomo +28,2014
9490,2014-08-22,WMUR/UNH,New Hampshire Governor - Hemingway vs. Hassan,"Hassan 51, Hemingway 31",Hassan +20,2014
9491,2014-08-22,WMUR/UNH,N.H. Governor - Havenstein vs. Hassan,"Hassan 49, Havenstein 32",Hassan +17,2014
9492,2014-08-22,The Economist/YouGov,Congressional Job Approval,"Approve 10, Disapprove 72",Disapprove +62,2014
9493,2014-08-22,The Economist/YouGov,Direction of Country,"Right Direction 30, Wrong Track 60",Wrong Track +30,2014
9494,2014-08-22,Rasmussen Reports,Wyoming Senate - Enzi vs. Hardy,"Enzi 63, Hardy 27",Enzi +36,2014
9495,2014-08-22,Rasmussen Reports,Wyoming Governor - Mead vs. Gosar,"Mead 55, Gosar 34",Mead +21,2014
9496,2014-08-22,Boston Globe*,Massachusetts Governor - Baker vs. Coakley,"Coakley 41, Baker 34",Coakley +7,2014
9497,2014-08-22,Boston Globe,Massachusetts Governor - Democratic Primary (September 9),"Coakley 45, Grossman 24, Berwick 10",Coakley +21,2014
9498,2014-08-21,Rasmussen Reports,West Virginia Senate - Capito vs. Tennant,"Capito 50, Tennant 33",Capito +17,2014
9499,2014-08-21,WMUR/UNH,New Hampshire Senate - Brown vs. Shaheen,"Shaheen 46, Brown 44",Shaheen +2,2014
9500,2014-08-21,Rasmussen Reports,Connecticut Governor - Foley vs. Malloy,"Foley 45, Malloy 38",Foley +7,2014
9501,2014-08-21,Rasmussen Reports,Montana Senate - Daines vs. Curtis,"Daines 55, Curtis 35",Daines +20,2014
9502,2014-08-21,WMUR/UNH,N.H. 1st District - Guinta vs. Shea-Porter,"Guinta 45, Shea-Porter 41",Guinta +4,2014
9503,2014-08-21,WMUR/UNH,New Hampshire 1st District - Innis vs. Shea-Porter,"Shea-Porter 44, Innis 37",Shea-Porter +7,2014
9504,2014-08-21,WMUR/UNH,New Hampshire 2nd District - Garcia vs. Kuster,"Kuster 39, Garcia 36",Kuster +3,2014
9505,2014-08-21,WMUR/UNH,New Hampshire 2nd District - Lambert vs. Kuster,"Kuster 41, Lambert 35",Kuster +6,2014
9506,2014-08-21,WMUR/UNH,New Hampshire 2nd District - Lawrence vs. Kuster,"Kuster 40, Lawrence 32",Kuster +8,2014
9507,2014-08-20,Reuters/Ipsos,President Obama Job Approval,"Approve 39, Disapprove 55",Disapprove +16,2014
9508,2014-08-20,Rasmussen Reports,Direction of Country,"Right Direction 24, Wrong Track 67",Wrong Track +43,2014
9509,2014-08-20,USA Today/Suffolk*,North Carolina Senate - Tillis vs. Hagan,"Hagan 45, Tillis 43",Hagan +2,2014
9510,2014-08-20,WPRI/Fleming,Rhode Island Governor - Dem Primary (Sept. 9),"Raimondo 32, Taveras 27, Pell 26",Raimondo +5,2014
9511,2014-08-20,PPP (D),North Carolina: Christie vs. Clinton,"Clinton 45, Christie 38",Clinton +7,2014
9512,2014-08-20,PPP (D),North Carolina: Paul vs. Clinton,"Clinton 47, Paul 42",Clinton +5,2014
9513,2014-08-20,PPP (D),North Carolina: Bush vs. Clinton,"Clinton 46, Bush 42",Clinton +4,2014
9514,2014-08-20,PPP (D),North Carolina: Huckabee vs. Clinton,"Clinton 45, Huckabee 44",Clinton +1,2014
9515,2014-08-20,PPP (D),North Carolina: Cruz vs. Clinton,"Clinton 47, Cruz 41",Clinton +6,2014
9516,2014-08-19,PPP (D),North Carolina Senate - Tillis vs. Hagan,"Hagan 43, Tillis 42",Hagan +1,2014
9517,2014-08-19,Albuquerque Journal,New Mexico Governor - Martinez vs. King,"Martinez 50, King 41",Martinez +9,2014
9518,2014-08-19,Albuquerque Journal,New Mexico Senate - Weh vs. Udall,"Udall 53, Weh 35",Udall +18,2014
9519,2014-08-19,Rasmussen Reports,Minnesota Governor - Johnson vs. Dayton,"Dayton 49, Johnson 41",Dayton +8,2014
9520,2014-08-19,PPP (D)*,Kansas Senate - Roberts vs. Taylor vs. Orman,"Orman 23, Roberts 32, Taylor 25",Roberts +7,2014
9521,2014-08-19,PPP (D),Kansas Senate - Roberts vs. Taylor,"Roberts 43, Taylor 39",Roberts +4,2014
9522,2014-08-19,PPP (D),Kansas Governor - Brownback vs. Davis,"Davis 44, Brownback 39",Davis +5,2014
9523,2014-08-18,Rasmussen Reports,2014 Generic Congressional Vote,"Republicans 39, Democrats 39",Tie,2014
9524,2014-08-18,Rasmussen Reports,Minnesota Senate - McFadden vs. Franken,"Franken 50, McFadden 42",Franken +8,2014
9525,2014-08-17,Rasmussen Reports,Tennessee Governor - Haslam vs. Brown,"Haslam 55, Brown 30",Haslam +25,2014
9526,2014-08-17,Rasmussen Reports,Iowa Governor - Branstad vs. Hatch,"Branstad 52, Hatch 35",Branstad +17,2014
9527,2014-08-15,Rasmussen Reports,Wisconsin Governor - Walker vs. Burke,"Burke 47, Walker 48",Walker +1,2014
9528,2014-08-15,InsiderAdvantage*,Georgia Governor - Deal vs. Carter,"Deal 43, Carter 39",Deal +4,2014
9529,2014-08-15,FOX News,2014 Generic Congressional Vote,"Republicans 39, Democrats 46",Democrats +7,2014
9530,2014-08-15,FOX News,Public Approval of Health Care Law,"For/Favor 41, Against/Oppose 52",Against/Oppose +11,2014
9531,2014-08-15,InsiderAdvantage*,Georgia Senate - Perdue vs. Nunn,"Perdue 47, Nunn 40",Perdue +7,2014
9532,2014-08-15,Mass Insight/Opinion Dynamics,Massachusetts Governor - Baker vs. Coakley,"Coakley 44, Baker 41",Coakley +3,2014
9533,2014-08-15,Boston Globe*,Massachusetts Governor - Baker vs. Coakley,"Coakley 40, Baker 32",Coakley +8,2014
9534,2014-08-15,Boston Globe,Massachusetts Governor - Democratic Primary (September 9),"Coakley 45, Grossman 21, Berwick 10",Coakley +24,2014
9535,2014-08-18,Gallup,President Obama Job Approval,"Approve 41, Disapprove 53",Disapprove +12,2014
9536,2014-08-18,Rasmussen Reports,President Obama Job Approval,"Approve 48, Disapprove 51",Disapprove +3,2014
9537,2014-08-18,Rasmussen Reports,2014 Generic Congressional Vote,"Democrats 39, Republicans 39",Tie,2014
